"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"prescription","","","voorskrif","","","","","","iphepha lamayeza likagqirha","","","","sincumelomutsi","","","","isiqintelo","isilayelo","","taolelomelemo","","","","taelelo","","","","","taelo ya ngaka ka meriana","","","ndaela","thandelwa","","","","","ndzawulelo","","",""
"prescription drug","","","voorskrifmedisyne","voorskrifmiddel","","","","","ichiza eliphuma ngomyalelo wengcali yezempilo","","","","umutsi loncunyelwe","","","","isihlahla esiqintelwa ngudorhodere","","","taolelomolemo","","","","seokobatšitaelelo","","","","","moriana ka taelo ya ngaka","","","mushongarandelwa","","","","","","xidzidziharisindzawulelo","","",""
"prescription-only medicine","POM","","voorskrifmiddel","voorskrifpligtige medikasie","voorskrifpligtige middel","voorskrifpligtige medisyne","","","iyeza eliphuma ngomyalelo wengcali yezempilo kuphela","","","","umutsi loncunyelwe kuphela","","","","isihlahla esitholakala ngokuqintelwa kwaphela","","","molemotaolelo fela","","","","sehlaretaelelofela","","","","","moriana o fanwang ka taelo ya ngaka feela","","","mushongathandelofhedzi","mushongathandelwafhedzi","","","","","murhindzawulelo ntsena","","",""
"primary care","","","primêre versorging","","","","","","ukhathalelompilo lokuqala","","","","lunakekelosisekelo","","","","itjhejo lokuthoma kezamaphilo","","","tlhokomelotheo","","","","tlhokomelotheo","","","","","tlhokomelo ya motheo","","","ndondolothangeli","ndondolo ya kiḽiniki","ndondolo ya mutheo","","","","vuongorimasungulo","vutshungurimasungulo","nhlayisomasungulo",""
"probiotic {dietary or medical supplement}","","","probiotikum","probiotiese middel","","","","","iprobhayothiki","","","","ligciwane lelilusito emtimbeni","","","","umulwana olungele indeni","iphrobhayothikhi","","ditlatsitshedi","porobayothiki","","","phoropaeyoyhiki","","","","","baktheria e molemo","baktheria e matlafatsang","","bakitheria yo lugelaho muvhili","phrobayothikhi","","","","","xitsongwatsongwana xa hombe","","",""
"progesterone {hormone}","","","progesteroon","","","","","","ihomoni yokukhulelwa","iprojesteroni","","","luhlobo lwehomoni yebufati","iphrojesteroni","","","ihomoni yesifazi","iphrojesteroni","","homoune ya paakanyetsokimo","porojeseterone","","","homounelehlapopelego","","phorotšesetoroni","","","homoune ya botshehadi","","","homounutshisadzi","","","","","","homoni yo lunghisela vuyimana","","",""
"protracted bacterial bronchitis","PBB","","langdurige bakteriese brongitis","","","","","","iphika elingapheli msinya","","","","lukhwehlekhwehle lolungapholi","","","","umgomani ongapholi msinya","Ibhronkhayithisi engapholi msinya","","mogare-thurusamoselemowa-pakaleele","","","","pronkhaethisipaktheria thetelo","","","","","bronkhaethisi ya baktheria e nkang nako e telele","","","burokhanthisi mbangwa nga bakitheria","","","","","","mpfimbaxinkolwana wo godzombela","ndzhumbelaxinkolwana wo godzombela","",""
"pruritus","","","pruritis","gejeuk","","","","","ukurhawuzelelwa","","","","sifo sekunwayisa","sifo sekuluma","","","isifo sokulunywa","","","tlhotlhona","","","","mohlohlono","","","","","ho hlohlona","","","u ṱhoṱhona","muṱhoṱhono","","","","","nhlohlonyo","","",""
"psychiatric disorder","","","psigiatriese versteuring","geestesversteuring","","","","","uphazamisekongqondo","","","","kuphazamiseka kwengcondvo","","","","ukuphazamiseka komkhumbulo","","","malwetse a tlhaloganyo","","","","bolwetši bja monagano","","","","","lefu la kelello","","","thithiseamuhumbuloni","","","","","","nkantshamiseko wa miehleketo","","",""
"pulmonary <adj.>","","","pulmonêr","long-","","","","","-phathelene nemiphunga","","","","-phatselene nemaphaphu","","","","-phathelene namaphaphu","","","-makgwafo","","","","-maswafo","","","","","-matshwafo","","","mafhafhuni","","","","","","-mahahu","","",""
"pulmonary oedema <Great Britain> {fluid in the lungs}","pulmonary edema","","pulmonêre edeem","longedeem","","","","","ukugcwala kwemiphunga lulwelo","","","","kuvuvuka kwemaphaphu","kudvumba kwemaphaphu","","","ukuvuvuka kwamaphaphu","","","metsimakgwafong","","","","meetsemaswafong","","","","","idima ya matshwafo","borurusi","","nzwimbamafhafhu","","","","","","xirhumberhumbe xa mahahu","idima ya mahahu","",""
"quarantine","","","kwarantyn","isolasie","","","","","ukubekelwa bucala kweyeza","","","","kuvalelwa wedvwa","ikhwarantini","","","iphephiselopilo","ikhwaranthini","","tibelo","","","","tlhaolo","","khwaranthine","","","ho kgethela ba tshwaeditsweng","pehelothoko","","mvalelathungo","khwaranthini","","","","","nhlambulo","yirisanhlangano","",""
"quinine","","","kinien","kinine","","","","","iyeza lecesina","ikhwinayini","","","ikhwinini","umutsi wamalaleveva","","","isihlahla sikamalalehlengezela","isihlahla semalariya","ikhwinini","khwinini","","","","khwinine","","","","","moriana wa Malaria","khwinine","","khwinini","","","","","","rihantikwepere","","",""
"radiation therapy {medical}","","","bestraling","","","","","","unyango ngokutshisa ngemitha","","","","kwelapha ngekushisa ngemisebe","","","","ukwelapha ngokutjhisa","","","kalafi ya moranyo","Kalafi ya radieišene","","","kalafophišeletšo","","","","","kalafo ka radieishene","phekolo ka radieishene","","dzilafho nga radiesheni","radiaeshenithyeraphi","","","","","vutshunguririhiso","","",""
"randomised controlled trial","RCT","","ewekansige gekontroleerde proef","ewekansige beheerde proef","","","","","ulingoyeza ngothelekiso olungahlelwanga","","","","lulingolulawulo lolungakhetsi","","","","ilingelelomadaniso elingakhethiko elilawulwako","","","tekelelotaolophapaanyo","","","","tekotaelosebokuboku","","","","","phuputso ya kabo ka lotho","","","ndingoelakushumele kwa mushongananguludza","","","","","","ndzingeto lowu lawuriwaka muhulahula","","",""
"reagent {chemical}","reactive agent","","reagens","reageermiddel","","","","","irieyijenti","","","","sikhutsati lesiyincenye","","","","isicozululimakhemikhali","","","setsibogi","","","","ditswakantšhi","","reetšente","","","setswakanyi","","","tshibveledzisi","","","","","","xiangurisi","","",""
"recombinant DNA","rDNA","","rekombinante DNS","rekombinante DNA","","","","","intlanganisela yee-DNA","","","","inhlanganisela yetakhilufuto","inhlanganisela yema-DNA","","","ihlanganisela yama-DNA","","","DNAlotswakwa","","","","DNA tswakwa","","","","","DNA e kopantsweng","","","DNA ṱhanganywa","","","","","","DNA yo hlanganisiwa","","",""
"refrigerant","refrigerating agent","","koelmiddel","verkoelmiddel","","","","","isipholisi","isibandisi","","","sipholisi","sibandzisi","sicandzisi","","isipholisi","","","seretsidifatsi","","","","setšidifatši","","","","","sebakamohatsela","","","tshirothodzi","tshixwatudzi","","","","","xihorisi","xititimeti","",""
"renal artery","","","renale slagaar","nierslagaar","","","","","unothumelagazi kwizintso","","","","umtsambo lotfumelako wetinso","","","","isithumeliingazi ezisweni","","","seisamadiphilong","","","","tšhikaseišamadipshiong","","","","","mothapo o fepelang madi diphiong","","","ludivhithaluyatswioni","","","","","","nsihayinsu","nthumukwanayinsu","",""
"respiratory system","","","respiratoriese stelsel","asemhalingstelsel","asemhaalstelsel","","","","inkqubo yokuphefumla","","","","luhlelokuphefumula","","","","irherho lokuphefumula","","","matlhamaganyane a khemo","","","","mokgwapeakanyokhemo","","","","","taolo ya ho hema","","","sisiṱeme ya mufemo","sisteme ya mufemo","","","","","mahefemulelo","","",""
"retest date","","","hertoetsdatum","","","","","","umhla wokuphindwa kovavanyo","","","","lusuku lwekuhlola kabusha","","","","ilanga lehlolobuyelela","","","letlhapoeletsoteko","","","","letšatšikgweditekopoel etšo","","","","","mohla wa ho pheta teko","","","datumu ya ndingululo","","","","","","siku ro kambela nakambe","","",""
"rheumatism","","","rumatiek","","","","","","iromathizimu","","","","sifo sematsambo","sifo sekuvuvuka kwemalunga","iramatiki","","iramatiki","","","ramatiki","","","","bonyelele","","ramatiki","","","ramatiki","","","ṋowagudu","","","","","","nyokajundzu","","",""
"rhinitis","","","rinitis","neusslymvliesontsteking","","","","","ukudumba kwamathatha","iranayithisi","","","sifo setimphumulo","","","","ubuhlungu bamakghala","isifo samakghala","ubulwele bamakghala","thurugolotha lwa nko","","","","tšhatšhamelothurugonko","","rainaithisi","","","borurusi ba mahanana","raenaethisi","","rainaithisi","","","","","","mpfimbo wa nkuva wa marhimila","ndzhumbelo wa nkuva wa marhimila","rhayinayitisi",""
"ribonucleic acid","RNA","","ribonukleïensuur","ribonukleïnesuur","RNS","RNA","","","iribhonukliyikhi asidi","i-RNA","","","irubonukleyiki esidi","i-esiditinhlayiya","","","irayibhonyutleyikhi esidi","","","esitiraebosenyutlelei","","","","riponyutlelelikiesiti","","esiti ya riponyutleleliki","","","esiti ya raebonyutlelease","","","ribonyukiḽeikiesidi","ribonyukiḽeikidungi","","","","","rhibonyutlileyikiasidi","","",""
"rosemary","","","roosmaryn","","","","","","irozimeri","","","","irozimeri","","","","irozimeri","","","rousemeri","","","","rosemeri","","","","","rosemeri","","","rosimeri","","","","","","rhozimeri","","",""
"roundworm","","","rondewurm","","","","","","intshulube ebumsundulu","irawundi wemu","","","linyokanemsundvu","irawundiwemu","","","inyokanandulungu","","","sebokwanadiko","","","","sebokwananthokolo","","","","","lenyowatjhitja","","","ṋowana","","","","","","nyokanyokana na xirhendzevutana","","",""
"saccharin {histology}","saccharine","","sakkarien","sakkarine","saggarien","saggarine","","","isakharini","","","","shukelambumbulu","isakharini","sashukela","","isingatjhukela","isingaswigiri","isakharini","sakharine","sekasukiri","","","sakharini","","","","","sakharini","","","sakharini","swigirimafaedza","swigirimafanedza","","","","chukelaxiphaza","sakharini","",""
"sage","salvia","","salie","","","","","","iseyiji","","","","iseyiji","","","","iseyiji","","","saje","","","","seyitši","","","","","mosisidi","seije","","seidzhi","","","","","","seji","","",""
"salicylic acid","","","salisielsuur","wilgersuur","wilgesuur","","","","isalisayilikhi asidi","","","","isalisayiki esidi","i-esiditsite yekwakha liphilisi","","","isalisayilikhi esidi","","","esitisalisiliki","","","","salisaelikiesiti","","","","","esiti ya salesiliki","","","saḽisiḽikidungi","saḽisiḽikiesidi","","","","","salisayikiasidi","","",""
"salinity","","","soutgehalte","saliniteit","","","","","ubumtyuba","ubutyuwa","","","busawoti","bumunyu","","","-butswayi","","","botswai","","","","botswai","","","","","botswai","","","ludungelamuṋo","","","","","","ndzhungelo","","",""
"salmonella","","","salmonella","","","","","","isalimonela","","","","isalimonela","","","","isalmonela","","","salemonela","","","","salemonela","","","","","salmonela","","","saḽimoneḽa","","","","","","xitsongwatsongwana xa thayifodi","salimonela","",""
"sanitation {decontamination}","","","ontsmetting","sanitasie","","","","","ugutyulo","","","","kubulala emagciwane","","","","ukuhlwengisa ngamakhemikhali","","","tlhwekiso","","","","tlhwekišo","","","","","tlhwekisiso","","","khunakiso","vhuthathatzhili","","","","","mbhasiso","","",""
"sarcoma {type of cancer}","","","sarkoom","","","","","","umhlaza isakhoma","","","","isakhoma","","","","isakhoma","","","sakhoma","","","","kankeremešifa","","sakhoma","","","sakhoma","","","sakhoma","","","","","","sakhoma","","",""
"sciatica","","","heupsenupyn","iskias","","","","","isayathikha","","","","buhlungu bemiva yemlente","","","","ubuhlungu bomthambo omkhulu womlenze","","","sayathikha","","","","bohlokothapokgolo oto","","sekiathika","","","sayathika","","","shiatika","","","","","","xivavi xa nsihakulu wa nenge","siyatika","",""
"secondary care","","","sekondêre versorging","sekondêre sorg","","","","","unyango olulandela olokuqala","","","","lunakekelongetelelo","","","","itjhejo elingezelelekileko","","","tlhokomelokgolwane","","","","tlhokomelotsebi","","","","","kalafo ka ditsebi","phekolo ka ditsebi","","ndondolamutakalo nga vhomakone","vhomakone vha ndondolamutakalo","","","","","vuongorinandzelo","vutshungurinandzelo","nhlayisonandzelo",""
"sedative","","","susmiddel","kalmeermiddel","angsiolitikum","","","","iyeza elozelisayo","unobuthongwana","","","silalisi","sidzambisi","","","isidambisi","","","seokobatsi","seritibatsi","","","seokobatširobadiša","","","","","sekokobetsi","","","tshidzidzivhadzi tsha khofhe","philisi ya khofhe","","","","","xihorisi","xiwisisi","ximbuweteri","xirhurisi"
"sedimentation","settling","","sedimentering","sedimentasie","afsakking","besinking","","","ukuhlengeka","","","","kucenga","","","","ukutsenga","","","ikgato","","","","go itsheka","","go itlhama","","","ho itsheka","boitsheko","","tshidziki","","","","","","ndzhiko","","",""
"seizure","","","stuipe","aanval","toeval","","","","ukuxhuzula kwelungu","","","","kuhlaselwa sitfutfwane","","","","ukubanjwa sithunthwana","","","mototwane","seebana","","","dithunthwane","","","","","ho rutla","","","tshifakhole","tshiririvha","tshiivha","","","","ku tshetshela","ntlumbeko","",""
"selenium {nutrition}","Se","","seleen","selenium","","","","","iseleniyam","","","","iseleniyamu","","","","isileniyamu","","","seleniamo","","","","seleniamo","","","","","seleniamo","","","seḽeniamu","","","","","","seleniyamu","","",""
"self-medication","","","selfmedikering","selfmedikasie","","","","","ukuzithengela amayeza","ukuzinyanga","","","kutelapha","","","","ukuzelapha","","","itaolelomolemo","itaolelosetlhare","","","boikalafo","","","","","boikalafo","","","vhuḓialafhi","u ḓialafha","","","","","vutitshunguri","","",""
"senna {natural medicine}","","","senna","","","","","","isina","","","","isena","","","","isitjhaphululindeni","isina","","senna","","","","sena","","","","","sena","","","sena","","","","","","sena","","",""
"sensible heat","SH","","waarneembare warmte","aanvoelbare warmte","","","","","ubushushu obungaguquli mo","","","","kushisa lokungaguculi simo","","","","umtjhiso ongabangitjhuguluko","","","bothitho","","","","phišotekanelo","","","","","motjheso o lekaneng","","","mufhisotshayambonalelo","","","","","","rihisonkacincaxiyimo","","",""
"sensitiser {microbiology}","","","sensitiseerder","","","","","","isensithayiza","","","","imbangela yalokwaliwa ngumtimba","","","","unobangela wokwaliwa mzimba","","","setlholatsibogeloaleji","","","","sehlolaaletši","","sentshithaesa","","","sesosa sa aleji","","","tshivhangaaḽedzhi","","","","","","xivangarinyenyanyenya","","",""
"sentinel event","","","brandwaggebeurtenis","waarskuwingsgebeurtenis","","","","","isehlo esingalindelekanga kwezonyango","","","","sehlakalo lesibi lebesingakalindzeleki","","","","isehlakalo esimbi esingakalindeleki","tiragalokotsi","","tiragalotshoganyetso","tiragalokotsi","","","tiragalompeseletelwe kalafong","","","","","qomatsi","","","tshiwo vhuongeloni","tshiwo sibadela","","","","","xiendlekonkalangutelo","","",""
"sepsis","","","sepsis","","","","","","ububovu","isepsisi","","","lusulelekongati ngemabhaktheriya","kungcoliseka kwengati ngemabhaktheriya","","","ukubhibhidlha","ukugcwala kwetjhefu eengazini","","phera","","","","myekgo","","phero","","","ho petla","","","sepisis","sepsisi","","","","","ku bola","","",""
"sinus {anatomy}","","","sinus","","","","","","amarhanana","isayinasi","","","emafonkholo","isayinasi","","","amakghala","isayinasi","","mantshwatshwa","saenase","","","saenase","","","","","saenase","","","sainasi","","","","","","baku ra moya","sayinasi","",""
"sinusitis","sinus infection","","sinusitis","sinusontsteking","","","","","ukudumba kwamarhanana","ukudumba kwamathatha","","","kuvuvuka kwemafonkholo","","","","ubuhlungu bamakghala","","","thurugo ya mantshwatshwa","thurugo ya disaenase","","","tšhatšhamelothurugo saenase","","","","","borurusi ba disaenase","","","nzwimbaningoni","","","","","","mangoromela","mpfimbatisayinasi","ndzhumbelatisayinasi",""
"skeletal system","","","skeletstelsel","","","","","","isakhelo somzimba","uphahla lomzimba","","","luhlelomatsambo lwemtimba","","","","irherho lephahla lamathambo","","","letlhotlholo","matlhamaganyane a marapo","","","mohwapeakanyorapo mmele","","sekelethone","","","taolo ya mohlolohlolo","","","sisiṱeme ya muangarambo","sisteme ya muangarambo","","","","","sisiteme ya nkongotlo","","",""
"sleep deprivation {lack of sleep}","","","slaapontneming","slaapdeprivasie","","","","","ukungalali ngokwaneleyo","","","","kucwasha","kuphilelwa","kuphelelwa butfongo","","ukungalali ngokwaneleko","","","tlhobaelo","tlhoroboroko","","","tlhobaelo","","","","","tlhobaelo","","","tshayakhofhe","","","","","","nkavurhongo","","",""
"small intestine","","","dunderm","","","","","","amathumbu amancinci","","","","ematfunjana","ematfumbu lamancane","","","amathunjana","amanyaka","","tsorwane","","","","malana","","lelana","","","malana","","","lula","","","","","","rhumbutsongo","","",""
"soft drug","","","sagte dwelm","","","","","","isiyobisi esingenamandla","","","","sidzakamiva lesingenamandla","","","","isidakami zwa esinganamandla","","","molemo o o bonolo","","","","seokobatšinolo","","seokobatšihlokagale","","","sethethefatsi se bobebe","","","tshidzidzivhadzi tsha vhuhali vhuṱuku","","","","","","xidzidziharisinkamatimba","xidzidziharisinkantamu","",""
"somnolence {sleepiness}","","","slaperigheid","slaapsug","","","","","isigulo sokozela","","","","kwetela","","","","ubululungwana","umalwelwe","","kotselo","kgofe","","","borokoroko","","borokontši","","","ho otsela","thibaselo","","gope","u kumedza","","","","","njhovoto","","",""
"spasm","","","spasma","","","","","","ukudikizela kwesihlunu","","","","inkwantju","insindze","","","ikwantju","ikrempe","","kgogego ya mesifa","","","","ngangegošifa","","ngangegogoba","","","ho huleha mosifa","krempe","","thukhunyeo","nyamurale","","","","","nkhanyakhanyano","kirempe","",""
"spinal cord","","","rugmurg","","","","","","umnqonqo","","","","umfunkhulu","umhloto","","","umgogodlha","","","mokolela","","","","lerapogaremokokotlo","","","","","mokolla","","","mutshilitshili","","","","","","nkhenunkhenu","rhambu ra longo","",""
"spleen {organ}","","","milt","","","","","","udakada","","","","lubendze","","","","ibende","","","lebete","","","","lebete","","","","","lebete","","","lumende","","","","","","rivengo","","",""
"sterilisation {to make barren or infertile}","","","sterilisering","sterilisasie","onvrugbaarmaking","","","","ukuvalwa inzala","","","","kuvala intalo","kubulala inhlanyelo","kuvala imbeleko","","ukuvala imbeleko","","","khutlisapelegi","","","","tswalelopelego","","","","","ho hlokisa thari","","","mvalambebo","tshivalambebo","vhuvalambebo","","","","ndlhayambeleko","","",""
"sterilisation {destruction of bacteria}","","","sterilisering","sterilisasie","","","","","ukubulala iintsholongwane","","","","kubulala emagciwane","","","","ukubulala umulwana","","","tlhwekiso","","","","polaotwatši","","polaopaktheria","","","tlhwekisiso","","","vhuvhulayazwitzhili","","","","","","nxuvo","","",""
"sternum","breastbone","","sternum","borsbeen","","","","","incum","ugeme","","","umganga","","","","umganga","","","lerapohuba","","","","sebeubeu","","kgetlane","","","kgitshane","lesapo la sefuba","","rambo ḽa khana","","","","","","xikangana","","",""
"stomach lining","","","maagslymvlies","","","","","","inwebu yesisu","","","","lutfwetfwesi lwesisu","ludvwadvwasi lwesisu","","","ithwethwesi lamathumbu","","","lotha lwa mogodu","","","","boalogodu","","","","","lera la mohodu","","","lukandakandane lwa thumbuni","","","","","","furu ra khwiri","","",""
"stomach ulcer","gastric ulcer","","maagseer","gastriese ulkus","","","","","isilonda esisesiswini","","","","silondza sasesiswini","","","","i-alsa engemathunjini","","","nthomogodu","sesomogodu","kgobogomogodu","","sešomogodung","","","","","leqeba la mohodu","","","zwilondathumbuni","alsa ya thumbuni","","","","","xilondza ekhwirini","","",""
"stroke <n.> {health}","apoplexy","","beroerte","apopleksie","","","","","ukufa icala","isitrowukhu","","","kufa luhlangotsi","sifulane","sitrowukhu","","ukudabuka komthambo wobuqopho","ukuvaleka komthambo wobuqopho","isthrowugu","losoletlhakore","losomofama","","","seterouku","","go hwa mphapha","","","strouku","","","u omamiraḓo","vhuomamiraḓo","tshiṱirouku","tshitrouku","","","xitiroku","","",""
"sublimation {transition from solid to gas}","","","sublimering","sublimasie","","","","","uguqukosiqina sibe ngumsi","","","","kugucuka kwalokucinile kube ngumoya","","","","umzombe wokutjhuguluka kweliqa","","","mowafalokomota","kgapetla","","","phetogokemo","","sapolimeišene","","","kgasefatso ya ho tiileng","","","sabuḽimesheni","","","","","","nkaheriso","","",""
"sucrose","","","sukrose","rietsuiker","","","","","iswekile","","","","shukela wetitjalo","","","","itjhukela yeentjalo","","","sukirimela","sukhurouse","","","sukhurose","","swikiri","","","tswekere","sukrouse","","sukhurousu","","","","","","chukelaswimilana","","",""
"supernatant {chemistry}","supernate","","bovloeistof","supernatant","","","","","umngcwengo","","","","umcwengo","","","","ihleza","ihloya","","seitsheki","","","","hlowa","","šifa","","","moitsheko","","","suphanethenthe","","","","","","ntsuvi","","",""
"suppository","","","setpil","","","","","","ipilisi efakwa endutswini","","","","liphilisi lelifakwa emntjazeni","","","","ipilisi elifakwa emnyokolweni","ipilisi elifakwa emtjazeni","","pelisimolatelo","","","","philisisetsentšhwamogweteng","","philisisetsentšhwamašagong","saphosithari","","pidisi ya mokoteng","","","philisidzheniswa nga murahu","saphositori","","","","","xidzidziharisi xo hoxiwa eka xihetamavele","xidzidziharisi xo hoxiwa eka mpfila {nhlamba}","xidzidziharisi xo hoxiwa eka nyompfi {nhlamba}",""
"surface-active agent","surfactant","","oppervlakaktiewe middel","oppervlakaktiewe agens","surfaktant","","","","isahlulilwelo","isafaktenti","isurface active agent","","sihlanganisiluketjeti","","","","isihlanganisitlelezi","isafakthenthi","","seletefatsi","","","","setološi","","","","","semonyollane","","","tshiṱanganyi","","","","","","xiolovisan'oko","","",""
"surrogate mother","","","surrogaatma","surrogaatmoeder","","","","","ummitheli","","","","ummitseli","","","","umbeletheli","","","mmelegedi","","","","mmelegedi","","","","","moemoledi","","","mubebeli","","","","","","muvelekeri","","",""
"swab","","","depper","","","","","","iswabhu","","","","simunyi","iswabhu","sibutsi","","iswabhu","","","sebatabati","","","","swapo","","","","","swabo","","","swabu","","","","","","swabu","","",""
"sweat gland","","","sweetklier","","","","","","idlala lombilo","","","","lidlala lemjuluko","","","","idlala lomjuluko","","","kgeleleswa ya mofufutso","","","","thakakudumela","","","","","lenketeba","leqhuthwana la mofufutso","","thanga ya biko","","","","","","nhlaribya ya nyuku","","",""
"syncope {loss of consciousness}","","","sinkopee","floute","","","","","ukufa isiqaqa","","","","kuculeka","","","","ukuyatha","","","kidibalo","","","","kidibalo","","","","","ho akgeha","kidibano","","u dzidzivhala","u ṋoka","","","","","ntitivalo","","",""
"synthesis {chemistry}","","","sintese","","","","","","isinthesisi","","","","kwakha ngekhemikhali","kusungula ngekhemikhali","","","ihlanganisela yamakhemikhali","","","tswakokhemikhale","","","","tlhamokhemikhale","","sinthesisi","","","tswakahanyo","","","tsikamushonga","","","","","","nkatsakatso","","",""
"syphilis","","","sifilis","","","","","","igcushuwa","isifilisi","","","gcunsula","lijovela","","","ithusula","isifilisi","","thosola","","","","thosola","","saefilisi","","","mokaola","","","thusula","","","","","","thusula","vuva","",""
"syringe","","","spuit","","","","","","isirinji","","","","isirinji","","","","isirinji","","","motlhogo","sirinji","sepeiti","","sirintši","","","","","serinji","","","sirinzhi","","","","","","sirinji","","",""
"systemic <adj.>","","","sistemies","","","","","","-tyhutyha umzimba","","","","-kwemtimba wonkhe","","","","-phathelene nomzimba","","","-setlhamaganyane","","","","-amago mmele ka moka","","","","","-mmele kaofela","","","kwamahomuvhili","","","","","","-miri hinkwawo","","",""
"systemic reaction","","","sistemiese reaksie","","","","","","ukuguliswa kokwaliwa ngumzimba okutyhutyhayo","","","","lokwaliwa ngumtimba","","","","okwaliwa mzimba","","","tsibogo ya setlhamaganyane","","","","phetogokamommele","","","","","tshwaetso ya mmele kaofela","","","u hana ha muvhili","","","","","","ku ariwa hi miri","","",""
"tachycardia {rapid heart rate}","","","tagikardie","versnelde harttempo","","","","","ukubetha ngamandla kwentliziyo","","","","kushayela edvute kwenhlitiyo","","","","ukubetha msinya kwehliziyo","ukubethela phezulu kwehliziyo","","kibobonako","","","","kibopelobjako","","","","","ho otla ka potlako ha pelo","","","mudivhithakhalulaho","","","","","","ku ba ka mbilu hi rivilo","","",""
"talc","talcum powder","","talk","talkpoeier","talkum","","","","ithalkhi","","","","ithalkhi","","","","ithalkhi","","","thaleke","","","","thaliki","","","","","poiri","thalke","","thaḽiki","thalki","","","","","thaliki","","",""
"tampon","","","tampon","watteprop","","","","","ithemponi","","","","ithemponi","sivimbelakuvuta","sivimbakungcola","","ithemponi","","","segopi","thempone","","","themphone","","","","","thempone","","","themphoni","","","","","","thamponi","","",""
"tapeworm","","","lintwurm","","","","","","intshulube enemingqa","intshulube emcaba","","","incwili","","","","icili","isoboya","","mphe","khumela","","","nogana","","sebokwana","","","tlhoya","maphata","","tsela","","","","","","nyokanyokanaswingwavila","","",""
"terminal sterilisation {of materials and containers}","","","eindsterilisering","eindsterilisasie","","","","","ubulawontsholongwane kwizixhobo","","","","kubulawa kwemagciwane esigabeni sekugcina semkhicito","","","","ukubulala umulwana esigabeni sokugcina somkhiqizo","","","tlhwekisopheletso","","","","tshepetšotlhwekišišophetšo","","","","","tlhwekisiso ya ho qetela","","","vhuvhulayazwitzhilima fhedziseloni","","","","","","nxuvomakumu","ndlhayomakumu wa switsongwatsongwana","",""
"tertiary care {health services provided by neurosurgeons, intensive care units, usually inpatient facilities}","","","tersiêre versorging","tersiêre sorg","","","","","unyango olulandela olwesibini","","","","lunakekelomphilo lolusezingeni lelikhetsekile","","","","itjhejo labosolwazi abaphezulu","","","tlhokomelokgethegileng","tlhokomelotsenelelo","","","tlhokomelotsenelelotsebi","","","","","tlhokomelo ya botsebi bo phahameng","","","ndondolo ya nṱhesa","dzilafho ḽa nṱhesa","","","","","vuongori bya xiyimo xa le henhla","vutshunguri bya xiyimo xa le henhla","nhlayiso wa xiyimo xa le henhla",""
"testosterone","","","testosteroon","","","","","","ithestosteroni","","","","ihomoni yebudvodza","ithestosteroni","","","ihomoni yobudoda","ithestosteroni","","homounesenna","theseteseterone","","","homowunenna","","thesetoseterowune","","","homoune ya botona","thestosteroune","","homounitshinna","","","","","","homonivununa","","",""
"therapeutic <adj.>","therapeutical","","terapeuties","","","","","","-nyangayo","","","","-laphako","","","","-laphako","","","- kalafolwetse","","","","-fodišago","","","","","-alafang","","","lafhea","","","","","","-ntshungulo","","",""
"throat","","","keel","","","","","","umqala","","","","umphimbo","","","","umphimbo","","","kgokgotso","","","","mogolo","","","","","mmetso","","","mukulo","","","","","","nkolo","","",""
"thrombosis","","","trombose","","","","","","ihlwili emithanjeni","ithrombosisi","","","lihlwili emtsanjeni","ithrombosisi","","","ihlwili elisemthanjeni","","","tswalotshika","","","","tswalelelotšhika","","theromposisi","","","trombosisi","","","mukheṱho wa malofha","vhukheṱhamalofha","thiromborosisi","","","","thirombosisi","","",""
"thyme","","","tiemie","","","","","","umnyamathi","umnyamanz","ithayimi","","ithayimi","","","","ithayimi","","","thaeme","","","","thaeme","","","","","thaeme","","","thyaimi","","","","","","thayimi","","",""
"time-release tablet","","","vrystellingsbeheerde tablet","","","","","","ipilisi enyibilika ngokweemaleko","","","","liphilisi lelihlala sikhatsi emtimbeni","","","","ipilisi elisebenza kabuthaka","","","pilisitepo","","","","philisitokollakagonanya","","","","","pidisi e sebetsang ka mekgahlelo","","","philisitshumasielisanatse-tsetse","","","","","","pilisi ra nkarhi wo leha","","",""
"tincture","","","tinktuur","","","","","","ithinktsha","","","","umutsi lone-alkhoholi","","","","isihlahla esinesidakisi","ithinktjha","","molemotagi","","","","motswakohlarealekh oholo","","thintšha","","","morianatahi","thinktjha","","thiṅitsha","","","","","","murhixihoko","","",""
"tinnitus","","","tinnitus","oorsuising","","","","","isifo sokungxolelwa ziindlebe","","","","sifo sekuva umsindvo longekho","","","","umdumo wangendlebeni","itjhada langendlebeni","","thinifatso","molodithini","","","lešatatsebe","","modumotsebe","thinaethase","","dumatsebe","thinithase","","muungo nḓevheni","thinithasi","","","","","vuvabyihuwandleveni","","",""
