"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"scale bar {term used when locating voting district on a map}","","","","","skaalblokkie","skaalafsluiting","skaalkassie","","","ibha yokukala","","","isilinganisi-mgama","","","silinganisibanga","","","","isilinganisi esiyibha","","","","sekale","","","","sedirišwa sa go laetša bogolo bja mmepe","","","sekala","","tshikalo tsha u sumbedza vhuhulwane ha tshiṱiriki tsha u voutela","tshikalo tsha u sumbedza vhuhulwane ha tshiṱiriki tsha u khethela","","","xikalu xa mpimo wa ndhawu","","",""
"scanner beam","","","","","skandeerstraal","","","","","isifundamagabelo","","","ilitha lokuskena","","","lilambu lekufundza emagabelo","","","","umkhanyosithwebuli","","","","lerang la go sekena","ponesa ya go sekena","","","lebone la go sekena","","","mahlasedi a sekena","","luvhone lwa sikena","","","","rivoni ro sikena","","",""
"seal","","","","","seël","","","","","isinamathelisi","","","isitywini","","","sivimbo","sinamatselisi","","","isiqobotjheli","isinamathiseli","","","sekonetedi","","","","setswaledi","sili","","sili","","siḽi","luswayo lwa u loḓela","","","xipfalu","","",""
"sealed ballot box","","","","","verseëlde stembus","","","","","ibhokisi lamavoti elivaliwe","","","ibhokisi yeevoti etywiniweyo","","","libhokisi lemavoti lelivaliwe","libhokisi lemavoti lelinesivimbo","","","ibhokisi lamavowudi eliqobotjhelweko","ibhokisi lamavowudi elinanyathiselweko","","","lebokose la dipampiritlhopho le le konetetsweng","","","","lepokisi la dibouto leo le tswaletšwego","lepokisi la dibouto leo le sitšwego","","lebokose la dikgetho le kwetsweng ka sili","","bogisi ḽa dzivoutu ḽo siḽiwaho","","","","bokisi ro hlawulela leri pfariweke","bokisi ro vhotela leri pfariweke","",""
"seat","","","","","setel","","","","","isihlalo","","","isihlalo","","","sikhundla","sihlalo","","","isikhundla","isihlalo","","","setulo","","","","setulo","","","setulo","","tshidulo","","","","xiyimo","xitulu","",""
"secrecy","","","","","geheimhouding","","","","","ubumfihlo","","","imfihlo","","","bumfihlo","","","","ukuba nefumba","ukuba nefihlo","","","bophiri","","","","bophiri","","","bofihla","","tshiphiri","","","","vuhundla","","",""
"secret vote","","","","","geheime stem","","","","","ivoti eliyimfihlo","","","ivoti eyimfihlo","ivoti esekhusini","","kuvota lokuyimfihlo","","","","ivowudi eyifihlo","ivowudi eliyifumba","","","tlhopho ya sephiri","voutu ya sephiri","","","bouto ya sephiring","","","kgetho ya sephiring","","voutu ya tshiphiri","khetho ya tshiphiri","","","nhlawulo wa le xihundleni","vhoti ya le xihundleni","",""
"security control","","","","","sekuriteitsbeheer","","","","","ukulawulwa kwezokuphepha","","","ulawulo lwezokhuseleko","","","kulawulwa kwetekuphepha","","","","ilawulovikeleko","","","","taolotshireletso","","","","taolo ya tšhireletšo","","","taolo ya tshireletso","","ndaulo ya tsireledzo","","","","ndzawulo wa vuhlayiseki","","",""
"security tape","","","","","afsperband","","","","","itheyiphu yokuvikela","","","ulutya lokhuselo","","","ithephu yekuvimbela","ithephu yekuvikela","","","itheyiphu yevikeleko","","","","theipitshireletso","","","","theipi ya tšhireletšo","","","theipi ya tshireletso","","theiphi ya tsireledzo","","","","thepi yo sirhelela","","",""
"sequence {voting procedure}","","","","","volgorde","","","","","ukulandelana","","","ulandelelwano","","","kulandzelana","","","","ilandelano","ukulamana","ukulandelana","","tatelano","","","","tatelano","","","tatelano","","thevhekano","","","","nandzelelano","","",""
"serve","","","","","beteken aan","","","","","ukuthumela","","","thumela","nika","","tfumela","","","","-nikela","","","","romela","","","","romela","","","-romela","","rumela","ṋekedza","","","ku rhumela","","",""
"single-member district","single-winner voting","","","","enkelliddistrik","","","","","isifunda selungu elilodwa","","","isithili sonyulo-lungu","","","sigodzi selilunga linye","","","","isiyingi esilungalinye","","","","kgaolo ya kemedi-esi","","","","selete sa lelokotee","","","setereke sa setho se le seng","","tshiṱiriki tsha muraḓo muthihi","","","","xirho xa xifundza","","",""
"single-member system","","","","","enkellidstelsel","","","","","uhlelo lokuqoka ilungu elilodwa","","","inkqubo yonyulo-lungu kwisithili","","","luhlelo lwekuphakamisa lilunga linye","","","","irherho elilungalinye","","","","thulaganyo ya kemediesi","","","","tshepetšo ya dikgetho tša lelokotee","","","tsamaiso ya kgetho ya setho se le seng","","sisteme ya muraḓo muthihi","","","","sisiteme yo hlawula xirho xa xifundza","","",""
"snap survey","snap poll","","","","blitspeiling","kitspeiling","","","","inhlolovo esheshayo","","","uvavanyo olukhawulezileyo","","","luhlolombono loluphangisako","","","","ihlolombono emsinya","","","","tlhotlhomisonnye","","","","nyakišišo ya go se tsenelele","","","phuputso e potlakileng","","ṱhoḓisiso ya tshihaḓu","","","","ndzavisiso wa xihatla","","",""
"South African citizen","","","","","Suid-Afrikaanse burger","","","","","isakhamuzi saseNingizimu Afrika","isakhamuzi saseSouth Africa","","ummi woMzantsi Afrika","ummi waseMzantsi Afrika","","sakhamuti saseNingizimu Afrika","","","","isAkhamuzi seSewula Afrika","","","","moagi wa Aforikaborwa","","","","modudi wa Afrika Borwa","","","moahi wa Aforika Borwa","","mudzulapo wa Afrika Tshipembe","","","","muakatiko wa Afrika-Dzonga","","",""
"Speaker of Parliament","","","","","Speaker van die Parlement","","","","","Usomlomo Wephalamende","","","uSomlomo wePalamente","","","Somlomo Wephalamende","","","","uSomlomo wePalamende","uSpikha wePalamende","","","Mmusakgotla wa kokoanobosetšhaba","Sepika sa kokoanobosetšhaba","","","Sepikara sa Palamente","Mosepikara wa Palamente","","Sepikara sa Palamente","","Mulangadzulo wa Phalamennde","","","","Xipikara xa Palamende","","",""
"Speaker of the National Assembly","","","","","Speaker van die Nasionale Vergadering","","","","","Usomlomo Wesishayamthetho Sikazwelonke","","","uSomlomo weNdlu yoWiso-mthetho yeSizwe","","","Somlomo Welibandla Lavelonkhe","","","","uSomlomo wesiBethamthetho seNarha","uSpikha wesiBethamthetho seNarha","","","Sepika sa kgotlatheomolao ya Bosetšhaba","Mmusakgotla wa Kgotlatheomolao ya Bosetšhaba","","","Sepikara sa Lekgotlatheramelao la Bosetšhaba","Mosepikara wa Lekgotlatheramelao la Bosetšhaba","","Sepikara sa Lekgotla la Ketsamelao la Naha","","Mulangadzulo wa Buthano ḽa Lushaka","","","","Xipikara xa Huvo ya Rixaka","","",""
"special ballot box","","","","","spesiale stembus","","","","","ibhokisi lamavoti akhethekile","","","ibhokisi yeevoti ekhethekileyo","","","libhokisi lemavoti lelikhetsekile","","","","ibhokisi lamavowudi akhethekileko","","","","lebokoso la dipampiritlhopho tse di kgethegileng","","","","lepokisi la dibouto leo le ikgethilego","","","lebokoso la dikgetho le ikgethang","","bogisi ḽa baḽotho ḽa tshipentshela","","","","bokisi ro hlawulela ro hlawuleka","bokisi ro vhotela ro hlawuleka","",""
"special vote","","","","","spesiale stem","","","","","ivoti elikhethekile","","","ivoti ekhethekileyo","","","livoti lelikhetsekile","","","","ivowudu ekhethekileko","","","","voutu e e kgethegileng","tlhopho e e kgethegileng","","","boutu yeo e ikgethilego","","","kgetho e kgethehileng","","voutu ya tshipentshala","","","","vhoti yo hlawuleka","","",""
"spoilt ballot","","","","","bedorwe stembrief","","","","","iphepha lokuvota elonakele","","","iphepha lokuvota elonakalisiweyo","","","liphepha lekuvota lelonakele","","","","ivowudu elonakeleko","","","","pampiritlhopho e e senyegileng","balototlhopho e e senyegileng","","","palote yeo e senyegilego","","","balote e senyehileng","","baḽotho yo khakheaho","","","","phepha ro hlawulela leri nga tatiwangiki kahle","phepha ro vhotela leri nga tatiwangiki kahle","baloto leyi nga tatiwangiki kahle",""
"stakeholder","","","","","belanghebbende","","","","","umbambiqhaza","","","-chaphazelekayo","-entsebenziswano","","lotsintsekako","","","","umhlanganyeli","umbambisani","","","moamegi","mokgatlhegedi","","","moamegi","","","moamehi","","mukwamei","","","","mukhumbheki","","",""
"state","","","","","staat","","","","","umbuso","","","urhulumente","umbuso","","umbuso","","","","umbuso","","","","naga","","","","naga","","","naha","","shango","","","","tiko","","",""
"strategy","","","","","strategie","","","","","isu","","","iqhinga","icebo","","lisu","lichinga","","","iqhinga","","","","togomaano","","","","leano","","","lewa","","strathedzhi","","","","kungu","xitirateji","",""
"succeed","","","","","opvolg","","","","","ukulandela","","","ngena esikhundleni ebesinomntu","ngena ezihlangwini zomntu","","vala","","","","-landela","","","","tlhatlhama","","","","latela","","","-hlahlama","","-tevhela","","","","landzela","tlhandlama","",""
"summit","","","","","beraad","","","","","ingqungquthela","","","ingqungquthela","","","ingcungcutsela","","","","umhlangano wesigungu","isamithi","","","samiti","","","","samiti","lekgotlakgoparara","","samiti","","guvhangano","","","","samiti","","",""
"supplement","","","","","aanhangsel","bylae","","","","isithasiselo","","","isihlomelo","isongezelelo","","sengeto","","","","isingezelelo","isihlomelelo","","","tlaleletso","","","","tlaleletšo","","","tlatsetso","","nḓadziso","nyengedzedzo","","","ntatiso","","",""
"support <v.>","","","","","ondersteun","","","","","ukweseka","","","xhasa","","","sekela","","","","-sekela","","","","tshegetsa","emanokeng","","","-thekga","","","-tshehetsa","","thikhedzo","","","","seketela","","",""
"supporter","","","","","ondersteuner","","","","","umlandeli","umeseki","","umxhasi","","","umesekeli","","","","umsekeli","","","","motshegetsi","moemanokeng","","","mothekgi","","","motshehetsi","","mutikedzi","","","","museketeri","","",""
"surplus","","","","","surplus","","","","","okwevile","","","intsalela","","","insalela","","","","okwevileko","idlulela","okuseleko","","tshalelo","","","","sapholase","","","masalla","","mufhalala","mashuluwa","","","nsalo","","",""
"tally <n.>","reconciliation","","","","rekonsiliasie","","","","","ukuvumelana","","","ungqinelwano","","","kulingana","","","","ilinganisano","","","","nyalano","","","","tshwano","tekatekano","","tshwano","","u livhana","u lingana","","","yelana","","",""
"target","","","","","doelwit","mikpunt","","","","inhloso","","","ekujoliswe kuko","","","inhloso","injongo","","","iqothelo","isibekiso","okuqothelweko","","setotwa","","","","senepša","","","tabatabelo","","tshipikwa","","","","xikongomisiwa","","",""
"temporary identity certificate","temporary identity document","","","","tydelike identiteitsdokument","","","","","umazisi wesikhashana","","","ulindela","","","matisi wesikhashana","sichubekiso","","","umazisi wesikhatjhana","ibhugwana yesikhatjhana","","","lokwaloitshupo la nakwana","","","","lengwalo la boitsebišo la nakwana","","","tokomane ya boitsebiso ya nakwana","","ṱhanziela ya vhuṋe ya tshifhinganyana","ḽiṅwalo ḽa vhuṋe ḽa tshifhinganyana","","","tsalwa ra vutitivisi ra nkarhinyana","","",""
"temporary obligation","","","","","tydelike verpligting","","","","","isibopho sesikhashana","","","isibophelelo sethutyana","","","sibopho sesikhashana","","","","isibopho sesikhatjhana","","","","tlamego ya nakwana","","","","kgapeletšego ya nakwana","tlamego ya nakwana","","tlameho ya nakwana","","vhuḓifhinduleli ha tshifhinganyana","","","","xiboho xa nkarhinyana","","",""
"temporary voter’s card","","","","","tydelike kieserskaart","","","","","ikhadi lomvoti lesikhashana","","","ikhadi lomvoti lethutyana","","","likhadi lemvoti lesikhashana","","","","ikarada lomvowudi lesikhatjhana","","","","karatatlhopho ya nakwana","","","","karata ya mokgethi ya nakwana","","","karete ya mokgethi ya nakwana","","garaṱa ya u khetha ya tshifhinganyana","garaṱa ya u vouta ya tshifhinganyana","","","karata ro hlawula ra nkarhinyana","karata ro vhota ra nkarhinyana","khadi ro hlawula ra nkarhinyana","khadi ro vhota ra nkarhinyana"
"tendered ballot","tendered vote","","","","aangebode stembrief","","","","","iphepha lokuvota eselinikeziwe","","","iphepha lokuvota elikhutshiweyo","","","livoti lelinemphikiswano","","","","iphepha lokuvowuda elikhutjhiweko","","","","baloto e e ntshitsweng","","","","boutu ya bobedi morago ga ngangišano","","","pampiri ya kgetho e fanweng","","baḽotho yo khwaṱhisedzwaho","","","","phepha ro hlawulela leri nyikiweke","phepha ro vhotela leri nyikiweke","baloto leyi nyikiweke",""
"the polls","","","","","verkiesing","","","","","ukhetho","","","unyulo","","","lukhetfo","","","","ikhetho","","","","ditlhopho","","","","dikgetho","","","dikgetho","","khetho","","","","nhlawulo hi ku angarhela","","",""
"threshold","","","","","drempel","","","","","iqophelo elidingekile lokwesekwa","","","ubuncinane bomlinganiselo wamanani","ubuncinane ngokweevoti","","linani lelincane lelidzingekako","","","","ubungeno","ubuncanisisekelo","","","palopotlana","seelopotlana","","","bonnyane bja thekgo","","","bonnyane tshehetsong","","tshivhalo tsha fhasisa","","","","nseketelo wa minimamu","","",""
"traditional leader","","","","","tradisionele leier","","","","","umholi wendabuko","","","inkokheli yomthonyama","","","umholi wendzabuko","","","","umrholi wendabuko","","","","moetapele wa setso","","","","kgoši","moetapele wa setšo","","moetapele wa setso","","murangaphanḓa wa sialala","","","","murhangeri wa ndhavuko","","",""
"transformation","","","","","transformasie","","","","","inguquko","uguquko","","inguqu","utshintsho","","ingucuko","luntjintjo","","","itjhuguluko","","","","phetogo","","","","phetogo","","","phetoho","","tshanduko","","","","ncinco","","",""
"transition","","","","","oorgang","","","","","uguquko olungakapheleliswa","","","inguqu","utshintsho","","ingucuko","luntjitnjo","","","idluliselo","","","","kgabaganyo","phetogo","","","phetolelo","","","phetoho","","u pfukela","","","","ncinco","","",""
"transitional authority","","","","","oorgangsregering","","","","","umaziphathe wesikhashana","","","ugunyaziwe wethutyana","ugunyaziwe wenguqu","","emandla ngesikhatsi sengucuko","emandla ngesikhatsi seluntjintjo","","","amandla wedluliselo","","","","pusokgabaganyo","pusophetogo","","","taolo ya nako ya phetolelo","","","bolaodi nakong ya phetoho","","maanḓalanga a u pfukela","","","","matimba ya ncinco","","",""
"transitional council area","","","","","oorgangsraadgebied","","","","","indawo yomkhandlu wesikhashana","","","ingingqi yebhunga lethutyana","indawo yebhunga elenziwa inguqu","","indzawo yemkhandlu wesikhatsi sengucuko","indzawo yemkhandlu wesikhatsi seluntjintjo","","","indawo yomkhandlu wedluliselo","","","","lefelokgotla la kgabaganyo","lefelokgotla la pusophetogo","","","lefelo la khantshele ka nako ya phetolelo","","","sebaka sa khansele nakong ya phetoho","","vhupo ha khoro ya tshifhinganyana","","","","ndhawu ya huvo hi nkarhi wa ncinco","","",""
"Transitional Executive Council","TEC","","","","Uitvoerende Oorgangsraad","UOR","","","","Umkhandlu Olawulayo Wesikhashana","","","iBhunga loLawulonguqu","iBhunga loLawulo leThutyana","","Umkhandlu Lophetse Ngesikhatsi Sengucuko","Umkhandlu Lophetse Ngesikhatsi Seluntjintjo","","","uMkhandlu oPhetheko weDluliselo","","","","Khuduthamagakgabaganyo","Khuduthamagaphetogo","","","Khantshelephethiši ya Nakong ya Phetolelo","","","Khansele ya Phethahatso Nakong ya Phetoho","","Khorotshitumbe ya Tshifhinganyana","","","","Huvonkulu ya Nkarhi wa Ncinco","","",""
"Transitional Local Council","TLC","","","","Plaaslike Oorgangsraad","POR","","","","Umkhandlu Wezindawo Wesikhashana","i-TLC","","iBhunga leNgingqi leThutyana","","","Umkhandludolobha Wesikhatsi Sengucuko","Umkhandludolobha Wesikhatsi Seluntjintjo","","","uMkhandlu weNdawo weDluliselo","","","","Lekgotlaselegae la Kgabaganyo","Lekgotlaselegae la Phetogo","","","Khantshele ya Selegae ya Nako ya Phetolelo","","","Khansele ya Lehae Nakong ya Phetoho","","Khoro ya Muvhuso Wapo ya Tshifhinganyana","","","","Huvo ya Muganga ya Nkarhi wa Ncinco","","",""
"Transitional Metropolitan Council","TMC","","","","Metropolitaanse Oorgangsraad","MOR","","","","Umkhandludolobhakazi Wesikhashana","i-TMC","","iBhunga likaMasipala oMbaxa leThutyana","","","Umkhandludolobha Welidolobha Lelikhulu Wesikhatsi Sengucuko","Umkhandludolobha Welidolobha Lelikhulu Wesikhatsi Seluntjintjo","","","uMkhandlu weDorobho eliKhulu weDluliselo","","","","TMC","Lekgotlatoropokgolo la Kgabaganyo","","","Khantshele ya Metheropholithene ya Nakong ya Phetolelo","","","Khansele ya Metropholithene Nakong ya Phetoho","","Khoro ya Tshifhinganyana ya Ḓorobo Khulwane","","","","Huvo ya Dorobankulu ya Nkarhi wa Ncinco","","",""
"Transitional Metropolitan Substructure","TMS","","","","Metropolitaanse Oorgangsubstruktuur","MOS","","","","Isakhiwo Esingaphansi Komkhandludolobhakazi Wesikhashana","i-TMS","","iQumrhwana likaMasipala oMbaxa leThutyana","","","Umkhandlu Lomncane Welidolobha Lelikhulu Wesikhatsi Sengucuko","Umkhandlu Lomncane Welidolobha Lelikhulu Wesikhatsi Seluntjintjo","","","isiJamiso esiNcani seDorobho elikhulu seDluliselo","","","","Setheo sa Lekgotlatoropokgolo la Kgabaganyo","","","","Karolo ya Khantshele ya Metheropholithene ya Nako ya Phetolelo","","","Karolwana ya Metropholithene Nakong ya Phetoho","","Davhi ḽa Khoro ya Ḓorobo khulwane ḽa Tshifhinganyana","","","","Rhavi ra Huvo ya Dorobankulu ya Nkarhi wa Ncinco","","",""
"transparency","","","","","deursigtigheid","","","","","ukungafihli lutho","","","ukuba selubala","ukuba sekuhleni","","kungagodli","kuba sebaleni","kungabi nemfihlo","","ubukhanyelo","","","","pepeneneng","mpaananeng","","","bopepeneneng","","","ponaletso","","u vha khagala","","","","vukalaxihundla","","",""
"two-round system","TRS","two-round electoral system","","","dubbelrondtekiesstelsel","","","","","uhlelo lokukhetha kabili","","","umjikelo wesibini kunyulo","","","luhlelo lwekukhetsa kabili","","","","irherho elimizombemibili","","","","thulaganyo ya tlhophogabedi","","","","tshepetšo ya go kgetha gabedi","","","tsamaiso ya ho kgetha habedi","","sisteme ya u khetha luvhili","sisteme ya u vouta luvhili","","","maendlelo yo hlawula kambirhi","maendlelo yo vhota kambirhi","",""
"two-third majority","qualified majority","supermajority","","","tweederdemeerderheid","","","","","iningi lokubili kokuthathu","","","isininzi esigqibeleleyo","","","linyenti lalokubili kulokutsatfu","","","","ubunengi bokubili kokuthathu","","","","bontsi jwa peditharong","","","","bontši bja peditharong","","","bongata ba peditharong","","vhunzhi ha mbili tshararu","","","","vunyingi bya mbirhixanharhu","","",""
"two-tier districting","","","","","tweevlakseteltoedeling","","","","","ukwabiwa kwezihlalo ngezigaba ezifundeni","","","ulwabiwo-zihlalo oluntlantlumbini","","","kwabiwa kwetihlalo ngalokulingene ngekweluhlu lwetigodzi nelwavelonkhe","","","","ukuthawulelwa kweenyingi","","","","kabo ya ditulo go tswa malokong a kgaolo e le nngwe","","","","kabo ya ditulo ya magatomabedi","","","kabo ya ditulo maemong a mabedi","","kukovhekanyele kwa madzulo u bva kha mutevhe wa tshiṱiriki na wa lushaka","","","","avelo wa switulu swa swifundza na swa rixaka","","",""
"unconstitutional","","","","","ongrondwetlik","","","","","okuphambene nomthethosisekelo","okungahambisani nomthethosisekelo","","-ngahambisani nomgaqo-siseko","","","-phambene nemtsetfosisekelo","","","","-phambene nomthethosisekelo","-ngakhambisani nomthethosisekelo","","","kgatlhanong le molaotheo","","","","go se ye ka molaotheo","","","-seng molaong wa motheo","","-lwaho na ndayotewa","-lwaho na mulayotewa","","","swile lwisanaka na vumbiwa","","",""
"undepleted list","","","","","onuitgeputte lys","","","","","uhlu olungaqediwe","","","uluhlu olungagqitywanga","","","luhlu lolungakacedvwa","","","","irhelo elingakahlengwa","","","","lenaane le le sa fetswang","","","","lenaneo la go se fokotšwe","","","lenane le sa fokotswang","","mutevhe u songo fhelelaho","","","","nongoloko lowu nga hungutiwangiki","nxaxamelo lowu nga hungutiwangiki","",""
"undue influence","","","","","onbehoorlike beïnvloeding","","","","","ithonya elingafanele","umthelela ongafanele","","ulukuhlo","","","kufaka umoya","","","","ukwenzisa okungafunekiko","","","","tlhotlheletso e e sa batlegeng","tlhotlheletso e e sa siameng","","","khuetšo ya go se be maleba","","","tshusumetso e sa hlokahaleng","","u ṱuṱuwedza ho khakheaho","","","","nhlohlotelo lowu nga lulamangiki","","",""
"unissued ballot paper","","","","","onuitgereikte stembrief","","","","","iphepha lokuvota elingakhishwanga","","","iphepha lokuvota elingakhutshwanga","","","liphepha lekuvota lelingakakhishwa","","","","iphepha lokuvowuda elingakakhutjhwa","","","","pampiritlhopho e e sa ntshiwang","pampiritlhopho e e sa abiwang","","","pampiri ya go kgetha yeo e sa ntšhwago","","","pampiri ya balote e sa ntshwang","","baḽotho i songo bviswaho","","","","phepha ro hlawulela leri nga nyikiwangiki","phepha ro vhotela leri nga nyikiwangiki","baloto leyi nga nyikiwangiki",""
"unused ballot paper","","","","","ongebruikte stembrief","","","","","iphepha lokuvota elingasetshenziswanga","","","iphepha lokuvota elingasetyenziswanga","","","liphepha lekuvota lelingakasetjentiswa","liphepha lekuvota lelingakasebenti","","","iphepha lokuvowuda elingakasetjenziswa","","","","pampiritlhopho e e sa dirisiwang","","","","pampiri ya go kgetha yeo e sa šomišwago","","","pampiri ya balote e sa sebediswang","","baḽotho i songo shumaho","","","","phepha ro hlawulela leri nga tirhisiwangiki","phepha ro vhotela leri nga tirhisiwangiki","baloto leyi nga tirhisiwangiki",""
"urban cadastral boundary","","","","","stedelike kadastrale grens","","","","","umngcele wedolobha","","","umda wolawulo lwedolophu","","","umncele welidolobha","umnyele welidolobha","","","umkhawulo wedorobho","","","","molelwane wa toropo","","","","mollwane wa magomo a motsesetoropo","","","moedi wa toropo","","mukano wa magumo a ḓorobo","","","","ndzelekano wa doroba","","",""
"urban voters’ district","","","","","stedelike stemdistrik","","","","","isifunda sabavoti basemadolobheni","","","isithili sovoto ezidolophini","","","sigodzi sebavoti basemadolobheni","","","","isiyingi sabavowudi bemadorobheni","","","","kgaolo ya batlhophi ba toropo","","","","selete sa bakgethi sa motsesetoropo","","","setereke sa bakgethi toropong","","tshiṱiriki tsha vhakhethi vha dziḓoroboni","tshiṱiriki tsha vhavouti vha dziḓoroboni","","","muavo wa tindhawu ta vahlawuri va le madorebeni","muavo wa tindhawu ta vavhoti va le madorobeni","",""
"vacancy","","","","","vakature","","","","","isikhala","","","isithuba","","","sikhala","","","","isikhala","","","","phatlhatiro","","","","sekgoba","","","sekgeo","","tshikhala","","","","xivandla","","",""
"vacate","","","","","ontruim","","","","","ukushiya isikhundla","","","shiya","phuma","","suka","phuma","shiya","","-lisa","-phuma-tjhiya","","","tswa","tlogela","","","-tlogela","","","-tlohela","","u bva","u litsha","","","ku tshika ntirho","","",""
"validity","","","","","geldigheid","","","","","ukuba semthethweni","","","isiqinisekiso esisemthethweni","","","sicinisekiso lesisemtsetfweni","","","","ubuqiniseko","","","","kamogelesego","bonnete","","","bomaleba","mmakgonthe","","ho ba molaong","","khwaṱhisedzo","","","","ntiyisiso","","",""
"verification","","","","","verifiëring","bevestiging","","","","ukuqinisekisa","","","uqinisekiso","","","kucinisekisa","","","","ukuqinisekisa","","","","netefatso","","","","kgonthišišo","","","nnetefatso","","khwaṱhisedzo","","","","ntiyisiso","nkambisiso","",""
"verify","","","","","verifieer","bevestig","","","","ukuqinisekisa","","","qinisekisa","","","cinisekisa","","","","-qinisekisa","","","","netefatsa","tlhomamisa","","","-kgonthišiša","","","-nnetefatsa","","khwaṱhisedza","","","","tiyisisa","kambisisa","",""
"violence","","","","","geweld","","","","","udlame","udlambedlu","","ubundlobongela","","","ludlame","","","","inturhu","","","","tirisodikgoka","tlhakatlhakanyo","","","dikgaruru","khuduego","","morusu","","khakhathi","pfiriri","","","madzolonga","","",""
"volunteer <n.>","","","","","vrywilliger","","","","","ivolontiya","","","ivolontiya","","","livolontiya","","","","umazinikela","ivolontiya","","","moithaopi","","","","moithaopi","","","moithaopi","","maḓilonga","","","","mutinyiketeri","","",""
"vote <n.>","","","","","stem","","","","","ivoti","","","ivoti","","","kukhetsa","kuvota","","","ivowudi","","","","tlhopho","pouto","","","bouto","","","kgetho","","khetho","voutu","","","hlawulo","","",""
"vote <v.>","","","","","stem","","","","","ukuvota","","","vota","","","khetsa","vota","","","vowuda","khetha","","","tlhopho","vouta","voutu","","bouto","","","-kgetha","","vouta","khetha","","","hlawula","vhota","",""
"vote fraud","","","","","stembedrog","","","","","ukukhwabanisa amavoti","","","ubuqhetseba kuvoto","","","kukhwabanisa umphumela welukhetfo","","","","ubukhwabanisi bamavowudi","","","","bogwenegwene jwa ditlhopho","botsukunape jwa ditlhopho","","","bofora bja dipoelo tša dikgetho","","","boqhekanyetsi dikgethong","","vhufhura ha voutu","vhufhura ha khetho","","","vukanganyisi bya mbuyelo wa nhlawulo","","",""
"vote into office","","","","","tot die amp verkies","","","","","ukuvotela esikhundleni","","","ukubeka esikhundleni","ukuvotela esikhundleni","","beka esikhundleni","","","","-beka esikhundleni","","","","tlhophela maemo","","","","-boutela bonkgetheng","","","-kgetha","","u dzhenisa vhuimoni","","","","ku veka exitulwini","","",""
"voter","constituent","elector","","","kieser","","","","","umvoti","","","umvoti","","","umkhetsi","umvoti","","","umvowudi","umkhethi","","","motlhophi","","","","mobouti","mokgethi","","mokgethi","","mukhethi","muvouti","","","muhlawuri","muvhoti","",""
"voter apathy","","","","","kiesersonbetrokkenheid","","","","","ukungabi namdlandla kwabavoti","ukungabi nantshisekelo kwabavoti","","ukungabi namdla kuvoto","","","linani leliphasi lalabavotile","","","","ukuziba ukuvowuda","ukugegeda ukuvowuda","","","thologelotlase ya ditlhopho","","","","go se boute ka bontši","","","palo e fokolang ya bakgethi","","u sa vouta nga vhunzhi","u sa khetha nga vhunzhi","","","nhlayo ya le hansi ya vahlawuri","nhlayo ya le hansi ya vavhoti","",""
"voter canvassing","","","","","stemwerwing","","","","","ukunxenxa abavoti","","","ukugaya ivoti","ugayo-voti","","kukhankhasela emavoti","","","","ukubawa amavowudi","ukufuna amavowudi","ukukhombela amavowudi","","ikopelotlhopho","","","","kuwauwetšo ya bakgethi","","","ho thaotha bakgethi","","u galatsha vhakhethi","u galatsha vhavouti","","","ku gangisela tivhoti","","",""
"voter education","","","","","kiesersopleiding","","","","","ukufundiswa ngoku-vota","","","imfundiso ngovoto","","","imfundziso ngekuvota","kufundzisa ngekuvota","","","ifundiso ngezekhetho","ifundiso ngezokuvowuda","","","thuto ya batlhopi","","","","thuto ya bakgethi","","","thuto ya dikgetho","","pfunzo ya vhakhethi","pfunzo ya vhavouti","","","dyondzo ya ku hlawula","dyondzo ya ku vhota","",""
"voter education campaign","","","","","kiesersopleidingsveldtog","","","","","umkhankaso wokufundisa ngokuvota","","","iphulo lokufundisa ngovoto","","","umkhankhaso wekufundzisa ngekuvota","","","","ijima lefundiso ngezekhetho","","","","letsholothuto la batlhophi","","","","lesolo la thuto ya bakgethi","","","letsholo la thuto ya dikgetho","","fulo ḽa pfunzo ya vhakhethi","fulo ḽa pfunzo ya vhavouti","","","pfhumba ra ntsariso wa vahlawuri","pfhumba ra ntsariso wa vavhoti","",""
"voter education programme","","","","","kiesersopleidingsprogram","","","","","uhlelo lokufundiswa ngokuvota","","","inkqubo yokufundisa ngovoto","","","luhlelo lwekufundzisa ngekuvota","","","","ihlelo lefundiso ngezekhetho","","","","lenaanethuto la batlhophi","","","","lenaneo la thuto ya bakgethi","","","lenaneo la thuto ya dikgetho","","mbekanyamushumo ya pfunzo ya vhakhethi","mbekanyamushumo ya pfunzo ya vhavouti","","","nongonoko wa dyondzo ya nhlawulo","","",""
