,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
834,Cluster sampling,Sampling method where the elements are drawn in groups often based on proximity. This overcomes the constraints of costs and time associated with a much-dispersed population.,Statistical Processes/Methodology/Metadata,Trossteekproefneming,Ukukhethwa /ukusampulwa /ukudzujulwa kwebuthelelo,Uvandlakanyo lwendibanisela,Ukuhlola ngokwamaqoqo,Dihlophatsopolwa,Kgetho ka dihlopha,Tseosekao ka ditlhopha,Kusampula kwalokuhlalelene,Tshigwada-/nanguludzwa / topolwa,Ku sampula hi xikatsa
835,Code,"A language-independent set of letters, numbers or symbols that represent a concept whose meaning is described in a natural language.",Statistical Processes/Methodology/Metadata,Kode,Umtlolofihlo,ikhowudi,Isimelalwazi / Ikhodi,Khoutu,Khoutu,Khoudo,Ikhodi,Khoudu,Khodi
836,Code list,A predefined list from which some statistical coded concepts take their values.,Statistical Processes/Methodology/Metadata,Kodelys,Irhelo lomtlolofihlo,uluhlu lwekhowudi,Uhlu lwezimelalwazi / Uhlu lwamakhodi,Lenaneo la dikhoutu,Lenane la dikhoutu,Lenaneokhoudo,Luhla / Luhlu lwemakhodi,Mutevhe wa dzikhoudu / Mutevhe wa khoudu,Nongonoko wa tikhodi
837,Coding,"The process of converting verbal or textual information into codes representing classes within a classification scheme, to facilitate data processing, storage or dissemination.",Statistical Processes/Methodology/Metadata,Kodering,Ukutlola ngokomtlolofihlo,ukwakhiwa kwekhowudi,Inqubo yokubekisa / Yokumelelisa,Go khouta,Ho fetolela khoutung,Go khouda,Kufaka emakhodi,U nea khoudu / U khouda,Makhodelo
838,Coding error,The assignment of an incorrect code to a data item.,Statistical Processes/Methodology/Metadata,Koderingsfout,Umtjhapho wokutlola ngokomtlolofihlo,ukufakwa kwekhowudi engeyiyo,Ukuphambeka ekumeleliseni / Ekubekiseni,Phoo ya go khouta,Phoso khoutung,Phoso ya go khouda,Liphutsa lekufakwa kwemakhodi,U nea khoudu yo khakheaho,Xihoxo xa makhodelo
839,Coherence,Adequacy of statistics to be combined in different ways and for various uses.,Statistical Processes/Methodology/Metadata,Koherensie,Ukukhambelana,ukuhambisana / ungqinelwano,Ukuhambisana,Tsenelano,Momahano,Kgotlagano / Kitlano / Momagano / Tomagano,Kuvumelana / Kuhlangana / Kuhambisana,U tshimbilelana,Mfambelano
840,Cold deck,The imputation technique used during data editing where missing or inconsistent values are calculated or derived from other information about the household or person. Synonym logical imputation. See hot deck.,Statistical Processes/Methodology/Metadata,Koue toerekening,Ukulungiswa kwemininingwana / kwedatha ngokukhibelela,Ukuvala izikhewu ngolwazi lwangaphambili,Ukuthathela/ukususela kokudala,Mokgwatlaleleto wa tshedimoo ka tshedimoo ya pele/kholoteke,Tlhakisetso ya pele,Mokgwatlaleletso,Kugcwalisa ngemininingwane leniketiwe,Vhudzhenisatshitewa khumbulelwa / kholodeke,Ngheniso wa switiviwa/datara / hi vutivi bya khale
841,Collection,See data collection.,Statistical Processes/Methodology/Metadata,Versameling,Ukubuthelelwa kwedatha / Ukubuthelelwa kwemininingwana,ingqokelela,Ukuqoqa,Kgoboketo,Pokello,Kokoanyo,Kugcogcwa kwemininingwane,U kuvhanganya,Nhlengeleto
842,Comparability,The extent to which differences between statistics can be attributed to differences between the true values of the statistical characteristics.,Statistical Processes/Methodology/Metadata,Vergelykbaarheid,Ukumadaniseka,nokuthelekiseka,Ukuqhathaniseka,Papetego,Ho bapisa / Papiso,Tshwantshanyo,Kuchatsaniseka,Vhuvhambedzi (ha tshitatisitika),Mpimaniseko
843,Completeness,See relevance.,Statistical Processes/Methodology/Metadata,Volledigheid,Ukuphelela,imfezeko / ingqibelelo / okugqityiweyo,Ukufezekisa,Phethego,Phethahalo,Botlalo / Bojotlhe / Feletseng / Bogotlhe,Kuphelela,U fhelela,Hetiseko
844,Completion,"A process of rectifying characters manually according to predefined rules. It is done on unrecognised data received from the tiling process.
Note: Completion is carried out on all alpha characters and numeric characters to improve coding accuracy.",Statistical Processes/Methodology/Metadata,Regstelling,Ukuqedelela,inzalisekiso / ingqibeleliso / ukugqiba,Ukufeza,Pheto,Ho phethela,Pheleletso,Kucedzela,U fhedza / U lulamisa (ha siatisitika),Ku heta
845,Concept,A unit of knowledge created by a unique combination of characteristics.,Statistical Processes/Methodology/Metadata,Konsep / Begrip,Umqondo,ingqiqo,Umqondo,Kgopolo,Mohopolo,Kgopolo,Umcondvo / Sicondvo,Khontseputi,Nongoti
846,Conceptual domain,Concept that expresses its valid instance meanings or description.,Statistical Processes/Methodology/Metadata,Konseptuele gebied,Umkhakha wemiqondo,inkalo yengqiqo,Umqondo ophelela,Lekala la kgopolo,Tikoloho ya mohopolo,Lekalakgopolo,Inshokutsi yemcondvo,Domeini ya khontseputi/halutshedzo ya mahumbulwa,Xiyenge xa maanakanyelo
847,Confidentiality,A property of data indicating the extent to which their unauthorised disclosure could be prejudicial or harmful to the interest of the source or other relevant parties.,Statistical Processes/Methodology/Metadata,Vertroulikheid,Ubufihlo,imfihlo,Ubumfihlo,Sephiri / Lekunutu / Thopa,Lekunutu / Sephiri,Bokhupamarama / Bophiri / Bopipanapipe,Kugcinwa kwedatha leyimfihlo,Tshidzumbe / Tshiphiri,Vuhundla
848,Consistency,Logical and numerical coherence.,Statistical Processes/Methodology/Metadata,Konsekwentheid,Ukungatjhuguluki,ukungaguquguquki / ungqinelwano,Inhlalakunjano / Ukungaguquguquki,Go se fetoge,Ho tsitsa / Botsitso,Tlhomamo / Nitamo,Kungagucugucuki,Ndunzhendunzhe,Vukalancincancinco
849,Consolidation,"The process that takes data from different systems, entities (and possibly formats) and combines that information to create a unified view.",Statistical Processes/Methodology/Metadata,Konsolidasie / Samesmelting,Ukuhlanganisa,ukudibanisa ngenjongo yokwenza iinkcukacha ezibuya kwiindawo-ngeendawo zihambiselane,Ukudidiyela,Kopantho,Ho kgobokanya,Popaganyo / Tomaganyo,Kuhlanganisa idatha,hanganyo,Mahlanganiselo
850,Content re-verification,A process of determining and verifying the contents of a questionnaire box.,Statistical Processes/Methodology/Metadata,Inhoudverifikasie,Ukuqinisekisa kokumumethweko,ukuqinisekiswa kokuqulethweyo,Impindakuqinisekiswa kokuqukethwe,Netefatoleswa ya diteng,Tiiso ya dikahare,Tlhomamisogape ya diteng / Tlhomamisopoeletso ya diteng,Kucinisekiswa kabusha kwemininingwane,Khwahisedzo hafhu ya zwi re nga ngomu,Matiyisiselo hi vuntshwa ya vundzeni
851,Context,"Circumstance, purpose, and perspective under which an object is defined or used.",Statistical Processes/Methodology/Metadata,Konteks,Ubujamo,imeko / isimo,Ingqikithi,Tlhaloo go ya ka thomio,Moelelo,Bokao / Maemo,Simo intfo lesetjentiswa kuso / Ingcikitsi,Vhudzivha / Nyimele,Xiyimo
852,Coverage,The definition of the population that statistics aim to cover.,Statistical Processes/Methodology/Metadata,Dekking,Ihlanganiso,emakuqukwe / okuzakungeniswa elubalweni,Okuzobalwa / okubalwayo,Kakareto,Kakaretso,Kanamo / Kakaretso,Bungako belinani lebantfu lokufanele babalwe,Nyangaredzo,Xivandla
853,Coverage error,"Error caused by a failure to adequately cover all components of the population being studied, which results in differences between the target population and the sampling frame.",Statistical Processes/Methodology/Metadata,Dekkingsfout,Umtjhapho wehlanganiso,impazamo kubalo / ukushiyelela / ukungaquki konke,Iphutha kubalwa,Phoo ya kakareto,Phoso kakaretsong,Phosokanamo / Phosokakaretso,Liphutsa lekungatfoli linani lebantfu lelihlosiwe,Vhukhakhi ha nyangaredzo,Xihoxo xo hlayela
854,Data,"A representation of facts, concepts, or instructions in a formal manner, suitable for communication, interpretation, or processing by humans or by automatic means.",Statistical Processes/Methodology/Metadata,Data,Imininingwana; idatha,Iinkcukacha,Imininingo,Dintlhakgoboketwa/teitha,Dintlha,Dinewa; dintlha,Idatha / imininingwane,Zwidodombedzwa / data,Switiviwa/datara
855,Data confidentiality,"A property of data, usually resulting from legislative measures, which prevents it from unauthorised disclosure.",Statistical Processes/Methodology/Metadata,Datavertroulikheid,Ubuntumba bemininingwana/bedatha,Inkcukacha eyimfihlelo,Imfihlo ngemininingo,Sephiri sa dintlhakgoboketwa/teitha,Sephiri ka dintlha,"Bophiri ba dinewa, bophiri ba dintlha",Kufihleka kwedatha,Zwidodombedzwa- / datatshiphiri,Vuhundla bya switiviwa/datara
856,Data editing,"Activity aimed at detecting and correcting errors, logical inconsistencies and suspicious data.",Statistical Processes/Methodology/Metadata,Dataredigering,Ukutsengwa kwemininingwana/ kwedatha,Ukuhlelwa kwenkcukacha,Ukuhlela imininingo,Thulaganyo /tlhokolo ya dintlhakgoboketwa/teitha,Tokiso ya dintlha,Tseleganyo ya dinewa/dintlha,Kulungisa idatha,Nzudzanyazwidombedzwa / ndzudzanyadata,Nhlelo wa switiviwa/datara
857,Data element,"A unit of data for which the definition, identification, representation and permissible values are specified by a set of attributes.",Statistical Processes/Methodology/Metadata,Data-element,Ubunjalo bemininingwana /bedatha,Inxalenye yenkcukacha,Ingxenye yemininingo,Senoko sa/elemente ya- dintlhakgoboketwa/teitha,Karolo ya dintlha,Karolo ya dinewa/dintlha,"Idatha yalokusetjentwa ngako, i-elementi yedatha",halusa-/zwidodombedzwa/data,Xiphemu xa switiviwa/datara
858,Data item,One occurrence of a data element.,Statistical Processes/Methodology/Metadata,Data-item,i-ayithemu yemininingwana / yedatha,Umbandela wenkcukacha,Iphuzu/uhlamvu lomniningo/ lwedatha,Senokwana sa/hlogwana ya dintlhakgoboketwa/teitha,Karolwana ya dintlha,Karolwana ya dinewa/dintlha,Sihlokwana sedatha,Tshitewa tsha zwidodombedzwa / data,Xiringanisi xa switiviwa/ datara
859,Data processing,The operation performed on data in order to derive new information according to a given set of rules.,Statistical Processes/Methodology/Metadata,Dataverwerking,Ukusetjenzwa kwemininingwana / Kwedatha,ukusetyenzwa kweenkcukacha / ukuqulunqwa kolwazi,Ukucutshungulwa kolwazi,Peakanyo ya data / Tshedimoo,Ho sebetsa dintlha,Tiragatsodatha / Tirisotshedimosetso / Tirisodinewa,Kuhlelwa kwedatha,U shuma data / U hahuvha data,Maendlelo ya mahungu
860,Data sharing,"Exchange of data and / or metadata in a situation involving the use of open, freely available data formats and where process patterns are known and standard.",Statistical Processes/Methodology/Metadata,Data-uitruiling / Datadeling,Ukwabelana ngemininingwana / Ngedatha,ukwabelana ngeenkcukacha,Ukucobelelana ngolwazi,Kabelano ya data / Tshedimoo,Karolelano ya dintlha,Dathakaroganyo / Dathakanaanyo / Tshedimosetsokanaanyo / Dinewakanaanyo,Kushiyelana / Kwabelana ngedatha,U kovhana data,Avelano wa mahungu
861,Definition,A statement of the precise meaning of something within the context of intended use.,Statistical Processes/Methodology/Metadata,Definisie,Ihlathululo,Inkcazo,Incazelo,Tlhaloo/tlhaloso,Tlhaloso,Tlhaloso,Inchazelo,halutshedzo / ningo / hanavhudzo,Nhlamuselo
862,Diary of expenditure,"A record with discrete entries arranged by date reporting on what has happened over the course of a defined period of time (e.g. diary of expenditure, diary of time use, etc.)",Statistical Processes/Methodology/Metadata,Bestedingsdagboek,Idayari yeendleko / Umalangeni weendleko,"iinkcukacha zokuhamba kwenkcitho, idayari yenkcitho",Isiqophazindleko / Ukuqoshwa kwezindleko,Pukutati ya ditshenyagalelo,Bukatsatsi ya ditshenyegelo,Bukatsatsi ya ditshenyegelo,Idayari yencitfomali,Dayari/rekhodo ya kushumisele kwa masheleni,Dayari ya matirhiselo
863,Dissemination,Distribution or transmission of statistical data to users.,Statistical Processes/Methodology/Metadata,Verspreiding,Ukusabalalisa,ukuhambisa / ukusasaza,Ukusabalalisa,Phatlalato,Ho hasanya,Phatlalatso,Kusabalalisa,U phaaladza,Mahangalaselo
864,Dynamic imputation,See hot deck.,Statistical Processes/Methodology/Metadata,Dinamiese toerekening,Ukulungiswa kwemininingwana / kwedatha ngokukhwezelela,Ukuvala izikhewu ngokuqikelela ngoko kukhoyo,Ukuselwa olwazini olusha ngokunamandla,Mokgwatlaleleto wa tshedimoo ya bjale ya go fetogafetoga,Tlhakisetso ya jwale,Mokgwatlaleletso ka papiso,Kugcwalisa ngemininingwane lemisha,Vhudzhenisatshitewa ndivhiswa,Ngheniso wa switiviwa/ datara ku ya hi vutivi byintshwa
865,Embargo time,The exact time at which the data can be made available to the public.,Statistical Processes/Methodology/Metadata,Embargo,Isikhathi sokukhutjhwa,ixesha lokukhutshwa kolwazi,Isikhathi sokudedela ulwazi,Nako ya maleba ya phatlalato,Thibelo ya nako ya tsebiso,Nako ya phatlalatso,Sikhatsi ngco sekwetfulwa kwedatha yelubalo,Tshifhinga tshine data/mafhungo ate u tea divhadzwa ngatsho,Nkarhi wo tivisa mahungu
866,Follow-up,A further attempt to obtain information because the initial attempt has failed or new information has become available.,Statistical Processes/Methodology/Metadata,Opvolg,Ilandelela,ukulandelela,Ukulandelela,Tatiio / Thalomorago,Ho kgutlela / Ho sala morao,Tatediso,Kulandzelela,Vhutevheleli / U tevhelela,Nandzeleriso
867,Frame,"A list, map or other specification of the units which define a population to be completely enumerated or sampled.",Statistical Processes/Methodology/Metadata,Raamwerk,Isakhelo,"isakhelo, isikhokelo, ubume/isizekelo/isizeko",Uhlaka,Foreimi,Moralo,Lenaneo / Thulaganyo,Luhlaka,Fureme / Muhanga,Rimba
868,Hot deck,"The imputation technique used in data editing where the source for imputed values is constantly updated from valid response combinations encountered during processing, thus reflecting the reality of the households and persons most recently processed. Synonym: dynamic imputation. See cold deck.",Statistical Processes/Methodology/Metadata,Warm toerekening,Ukulungiswa kwemininingwana / kwedatha ngokukhwezelela,Ukuvala izikhewu ngokuqinisekisa ngoko kukhoyo,Ukuthathela/Ukususela olwazini olusha ngokunamandla,Mokgwatlaleleto wa tshedimoo ya bjale/hothoteke,Tlhakisetso ya jwale,Mokgwatlaleletso ka papiso,Kugcwalisa ngemininingwane lemisha,Vhudzhenisatshitewa ndivhiswa / hothodeke,Ngheniso wa switiviwa/datara ku ya hi vutivi byintshwa
869,Imputation,"The procedure of entering a value for a specific data item, where the response is missing or unusable.",Statistical Processes/Methodology/Metadata,Toerekening,Ukulungiswa kwemininingwana,Uvalo-zikhewu,Ukususela/ ukucabangela,Mokgwatlaleleto,Tlatseletso,Mokgwatlaleletso,Kugcwalisa ngekuhlawumbelisa,Vhudzhenisatshitewa,Ngheniso wa switiviwa/datara
870,Information,"Knowledge concerning any objects such as facts, events, things, processes or ideas including concepts that within a certain context have particular meanings.",Statistical Processes/Methodology/Metadata,Inligting,Ilwazi,"iinkcukacha, ulwazi",Ulwazi,Tshedimoo,Tlhahisoleseding / Tsebiso / Lesedi,Tshedimosetso / Datha / Dinewa,Imininingwane / Lwatiso,divho / Mafhungo,Mahungu
871,"Interview, direct",The data collection process by which the fieldworker puts the questions on the questionnaire to the respondent and records the answers. See self-enumeration.,Statistical Processes/Methodology/Metadata,"Onderhoud, direk [direkte onderhoud]",Ikulumiswanobonana,"Udliwano-ndlebe, ngqo",I-inthaviyu yabukhoma,Potolodiothwii,"Boiteanyo, kotloloho",Potsolotso ka tlhamalalo,"Kukhulumisana, ngco / luhlololwati ngco",Mbudzisatswi,"Inthavhiyu, yo kongoma"
872,Item response rate,The ratio of the number of eligible units responding to an item to the number of responding units eligible to have responded to the item.,Statistical Processes/Methodology/Metadata,Itemresponskoers,Isilinganisopendulo se-ayithemu,izinga lokuphendula,Izinga labaphendulile,Reiti ya dikarabo / Diphetolo,Sekgahla sa karabo,Kelokarabo / Kelotsibogo,Silinganiso sebantfu labaphendvule imibuto kuleso lebesilindzelwe,Phimo ya phindulo dza tshitewa,Mpimo wa mahlamulelo
873,Key from image (KFI),A process of capturing data by looking at the image.,Statistical Processes/Methodology/Metadata,Insleutel vanaf beeld (IVB),Ukuthatha imininingwana ngokuqala isithombe,inkcazelo ethathwe emfanekisweni,Ulwazi ngokubuka umfanekiso,Go teya go twa seswanthong,Senotlolo se setshwantshong (SSS),Tlanya go tswa setshwantshong,Indlela yekutsatsa i-datha ngekubuka sitfombe,U rekhoda data nga mbonalo / Dodombedzwa nga mbonalo,Ku nghenisa mahungu hi ku languta xifaniso
874,Key from paper (KFP),A process of capturing data by looking at the physical questionnaire.,Statistical Processes/Methodology/Metadata,Insleutel vanaf papier (IVP),Ukuthatha imininingwana ngerhelo lemibuzo,inkcazelo ethathwe ephepheni lwemibuzo,Ulwazi olutholakala ezimpendulweni,Go teya go twa letlakaleng,Senotlolo se pampiring (SSP),Tlanya go tswa pampiring,Indlela yekutsatsa i-datha ngeluhlololuvo,U rekhoda data nga usedza kha bammbiri a mbudziso,Ku nghenisa mahungu hi ku languta eka phepha
875,Listing error,An error committed during listing.,Statistical Processes/Methodology/Metadata,Lystingsfout,Umtjhapho wokurhemisa,impazamo eyenziwe kuluhlu,Iphutha ohlwini,Phoo ge go dirwa lenaneo,Phoso lenaneng,Phosotsamaisong ya mananeo,Liphutsa lelenteke nakwentiwa luhla,Vhukhakhi ha u tevhekanya,Xihoxo xo xaxameta
876,Logical imputation,See cold deck.,Statistical Processes/Methodology/Metadata,Logiese toerekening,Ukulungiswa kwemininingwana / kwedatha ngokukhibelela,Ukuvala izikhewu ngolwazi lwangaphambili,Ukuthathela/ ukususela olwazini oludala,Mokgwatleleleto ka tshedimoo ya pele,Tlatseletso ka tlhakisetso,Mokgwatlaleletso o o lolameng,Kugcwalisa ngekuhlawumbelisa imininingwane leniketiwe,Vhudzhenisatshitewa thevhekano,Ngheniso wa switiviwa/datara wo fanela
877,Macro data,Observation data gained by a purposeful aggregation of statistical micro data.,Statistical Processes/Methodology/Metadata,Makrodata,Imininingwana /idatha ehlanganisiweko,Iinkcukacha ngokwendeleyo,Imininingo ebanzi,Dintlhakgoboketwakgolo,Dintlhadikgolo,Dinewakgolo,Idatha lenkhulu,Zwidodombedzwa-/datanyangaredzwa,Switiviwankulu / datara leyikulu
878,Master sample,"A sample drawn from a population for use on a number of future occasions, so as to avoid ad hoc sampling on each occasion.",Statistical Processes/Methodology/Metadata,Meestersteekproef,Umdzubhulo zombelele,"isampuli esisiseko, isampuli engaguqukiyo",Isibonisongqangi / Isiboniso okususelwa kuso,Seuposegolo,Sampole ya sehlooho,Sampolekgolo,Sifanekisonchanti,Tshigwada tshihulwane tshine vhavhudziswa vha do nangwa khatsho,Sambulanyangaredzo / Thopholonyangaredzo / Sampulunkulu
879,Metadata,"Data about data, that refers to the definitions, descriptions of procedures, system parameters, and operational results which characterise and summarise statistical programs.",Statistical Processes/Methodology/Metadata,Metadata,Imininingwanahlathululo; Idathahlathululo,Uhlalutyo-nkcukacha,Incazelo yemininingo,Tshedimookakareto/methateitha,Tlhakisetso ya dintlha,Tlhalosodinewa/dintlha; tshedimosetso ya dinewa/dintlha,Imethadatha,halutshedzazwidodombedzwa / data / methadata,Metadatara
880,Metadata registry,An information system for registering metadata.,Statistical Processes/Methodology/Metadata,Metadatalerstelsel,Irejistara yemininingwanahlathululo / yedathahlathululo,Uvimba weenkcukacha,Uhlelo lokugcinwa kwencazelo yemininingo,Mokgwangwadio ya tshedimookakareto/mokgobo wa methateitha,Ngodiso ya tlhakisetso ya dintlha,Bokwadisetso ba tlhalosodinewa/dintlha,Irejista yemethadatha,Vhuwalisahalutshedza-/zwidodombedzwa / data / methadata,Vuhlayiselo bya metadatara
881,Methodology,A set of research methods and techniques applied to a particular field of study.,Statistical Processes/Methodology/Metadata,Metodologie,Indlela yokwenza,Isikhokelo sophando,Indlela esetshenziswayo,Mokgwanyakiio/lenaneonyakiio,Mekgwa ya diphuputso,Mokgwapatlisiso,Indlela yekwenta,Ngona / maitele,Maendlelo
882,Micro data,Observation data collected on an individual object or statistical unit.,Statistical Processes/Methodology/Metadata,Mikrodata,Imininingwana engakahlanganiswa/idatha engakahlanganiswa,Inkcukacha etsolisiweyo,Imininingo eqoqekile,Dintlhakgoboketwanyane,Dintlhadinyane,Dintlhannye/dinewannye,Indlela yekwenta,Zwidodombedzwa-/datandivhiswa,Datara leyitsongo / switiviwatsongo
883,Multi-stage sampling,"Sampling method where selection of the sample is carried out in several stages, i.e. primary units are regarded as a population from which subsamples of secondary units are selected.",Statistical Processes/Methodology/Metadata,Meerstadiumsteekproefneming,Ukusampula/ukukhetha /ukudzubhula okungabagaba,Uvandlakanyo olunamanqanaba axananazileyo,Ukuhlola okuzigabaningi,Tsopolohlopha ya magatonthi,Kgetho ka mehato e mengata,Tseosekaokemontsi,Kusampula ngetigabagaba,Tsumbonanguludzwatsielisana,Ku sampula hi swiyimonyingi
884,National statistics,"Refer to statistics from other organs of state and agencies that are in the public domain, and have not been designated as official statistics.",Statistical Processes/Methodology/Metadata,Nasionale statistieke,Iimbalobalo zelizwe ezingakadluliswa,Iinkcukacha-manani zikaZwelonke,Izibalo zikazwelonke,Dipalopalo ta bosethaba ta go se be ta semmuo,Dipalopalo tseo eseng tsa semmuso,Dipalopalo tsa bosethaba,Imininingwanelubalo yavelonkhe,Mbalombalo/ zwitatistika zwi si zwa tshiofisi mbalombalo / zwitatisitiki zwa lushaka zwi si zwa tshiofisi,Tinhlayohlayo ta rixaka
885,Non-contact form,A form on which the data collector records instances of failure to make contact and the reasons.,Statistical Processes/Methodology/Metadata,Geenkontakvorm,Iforomo lokungakathintani,ifomu yaxa kungafunyanwanga mntu,Ifomu lokungatholakali kobedingeka,Fomo ya ge go se na boikgokaganyo,Foromo ya ho se atlehe kgokahanong,Foromo thetelelo kgolagano / Foromo tlhoka kgolagano,Lifomu letizatfu tekwehluleka kubala,Fomo ya khundelo u kwama vhavhudziswa (u wana data),Fomo yo kala vutihlanganisi
886,Non-sampling error,"Error that arises at any stage of the survey operation except in the sampling stage, e.g. coverage errors, response errors and processing errors. See sampling error.",Statistical Processes/Methodology/Metadata,Niesteekproeffout,Umtjhapho ongasiwokusampula,Imposiso yokungavandlakanyi,Iphutha elingewona umphumela wokuhlola,Phoo ya tlhokatlhophotsopolo,Phoso eo eseng ya ho sampola,Phoso e e seng ya tseosekao,Liphutsa lelibangelwa kungasampuli,Tshaedzo ya tshayatsumbonanguludzwa,Xihoxo xo kala xi nga ri xa ku sampula
887,Non-usable information,Information given by the respondents during the interview that cannot be used.,Statistical Processes/Methodology/Metadata,Onbruikbare inligting / Niebruikbare inligting,Ilwazi elingasebenzisekiko,ulwazi olungasebenzisekiyo,Ulwazi olungasebenziseki,Tshedimoo ye e ka se diriwego / Tshedimoo ye e ka se diriegego,Tlhahisoleseding e ke keng ya sebediswa / Tsebiso e ke keng ya sebediswa,Tshedimosetsotlhokamosola,Lwatiso / Imininingwane lengenalusito / Lengasebentiseki,Vhuanzi vhu sa shumisei / Mafhungo a sa shumisei,Mahungu lama nga tirhisekiki
888,Official statistics,Statistics that meet the quality requirements as stipulated by Stats SA and are relevant beyond the organ or agency that collected them.,Statistical Processes/Methodology/Metadata,Amptelike statistieke,Iimbalobalo zelizwe ezidlulisiweko,Iinkcukacha-manani ngokwasemthethweni,Izibalo ezisemthethweni,Dipalopalo ta semmuo,Dipalopalo tsa molao,Dipalopalo tsa semmuso,Imininingwanelubalo lesemtsetfweni,Mbalombalo/ zwitatistika zwa tshiofisi,Tinhlayohlayo ta ximfumo
889,Partly complete,A questionnaire that has not been fully completed.,Statistical Processes/Methodology/Metadata,Gedeeltelik voltooi,-ngakapheleli,okungagcwaliswanga ngokupheleleyo,Okugcwaliswe ngokungaphelele,Go se tlatwe go felelela,Le sa phethahalang,-sa felelang,Lokungakapheleli kahle,Gake (u adzwa ya sa fhele),Ku nga helelanga
890,Passive metadata,Metadata refer to the data but not connected with them and are entered separately typically using forms.,Statistical Processes/Methodology/Metadata,Passiewe metadata,Imininingwanahlathululo etjengisako / eqalwako,Uhlalutyo- nkcukacha oluzimeleyo,Incazelo mininingo okuthathelwa kuyo,Tshedimookakareto ya dintlhakgoboketwa ta go bobama,Tlhakisetso e sa sebetseng ya dintlha,Tlhalosadinewa/dintlha/ e e sa direng,Imethadatha lebindzile,halutshedzazwidodombedzwa-/datandivhiswa / methadata,Metadatara yo pfumala nghingiriko
891,Poor statistics,"Statistics which meet few of the quality requirements as stipulated by Stats SA. They are designated as poor to the extent that very limited deductions can be made, and they are therefore difficult to use.",Statistical Processes/Methodology/Metadata,Swak statistieke,Iimbalobalo ezingamukelekiko / ezingazisiko,Iinkcukacha-manani ezinganelisiyo,Izibalo ezingashayi emhlolweni,Dipalopalo te mpe/dipalopalo ta go fokola,Dipalopalo tse fokolang,Dipalopalo tse di bokoa,Imininingwanelubalo lelungemukeleki,Mbalombalo / zwitatistika zwazwo / methadata,Tinhlayohlayo to tsana
892,Primary sampling unit (PSU),Geographical area comprising one or more enumeration areas of the same type (and therefore not necessarily contiguous) that together have at least one hundred dwelling units.,Statistical Processes/Methodology/Metadata,Primre steekproefeenheid (PSE),Okusampulwa / okukhethwa /okudzujulwa kokuthoma,Icandelo lovandlakanyo elisisiseko (iPSU),Isizindangqangi sokuhlola,Yuniti ya tsopolohlopha ya motheo,Yuniti e kgolo ya kgetho,Lekalakgolo/kalatseosekaokgolo [KTK],Indzawo yekusampula kwekucala (i-PSU),Tshipia tsha tsumbonanguludzwa tsha ndeme (PSU),Yuniti yo sampula ya masungulo (YSM)
893,Probing,The technique that is used to obtain a complete and relevant response by asking further questions.,Statistical Processes/Methodology/Metadata,Polsing,Ukuphenya,ukuphanda,Ukuphenyisisa,Go botiia,Ho fatisisa / Ho nyebokolla,Botsolotsa / Tlhotlhomisa,Kuphenya / Kuhlokolota,U vhudzisesa / U okonya,Nkonaniso
894,Proxy,A person who answers questions on behalf of another person.,Statistical Processes/Methodology/Metadata,Instaner,Umphenduleli,Ummeli,Ophendulela abanye,Moemalegato,Moemedi,Moemedi,Lomele,Muimeli,Muyimeri
895,PSU listing book,A book containing information about listed structures in a PSU.,Statistical Processes/Methodology/Metadata,PSE-lystingsboek,Incwadi yokurhenyiswe ku-PSU,incwadi equlethe uluhlu kwi-PSU,Incwadi equkethe ulwazi lwe-PSU,Puku ya lenaneotshedimoo ya PSU,Buka ya lenane la PSU,Buka ya mananeo ya PSU,Libhuku leluhla lwe-PSU,Bugu ya u tevhekanya/khethekanya zwiimiswa ya PSU,Buku yo xaxameta ya PSU
896,PSU number,It is a unique number given to a primary sampling unit (PSU) for the purpose of record-keeping.,Statistical Processes/Methodology/Metadata,PSE-nommer,Inomboro ye-PSU,inombolo ye-PSU,Inamba ye-PSU,Nomoro ya PSU,Nomoro ya PSU,Nomoro ya PSU,Inombolo ye-PSU,Nomboro ya PSU,Nomboro ya PSU
897,Publicity,"A type of public relations in the form of a news item or story which conveys information about a product, service, or idea in the media.",Statistical Processes/Methodology/Metadata,Publisiteit,Umkhangisolwazi,"ukwazisa, isaziso",Ukwazisa,Kwalakwato,Phatlalatso,Phasalatso,Lusakatolwatiso / Kwatisa,Nyanadzo,Vuhangalasi
898,Quality Assurance,All actions taken to ensure that standards and procedures are adhered to and that delivered products or services meet performance requirements.,Statistical Processes/Methodology/Metadata,Gehalteversekering,Ukuqinisekiswa kwekhwalithi,"ukuqinisekisa izinga lomgangatho, ukuqinisekisa ixabiso",Ukuqinisekiswa kwezingabunjalo,Netefato ya boleng,Tiisetso ya boleng,Netefaletsoboleng,Kucinisekisa lizinga / Licophelo lelemukelekile,Khwahisedzo ya Ndeme,Ntiyisiso wa nkoka wa matirhelo
