eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
stock,voorraad,isitokwe,isitokhwe,sitoko,isitoko,phahlo,thoto,thepa,tshiṱoko,xitoko
stock appreciation,voorraadappresiasie,ukukhula kwamasheya,ukunyuka kwexabiso lwesitokhwe,kwenyuka kwesitoko,ukukhuphuka kwamandla weentengo zesitoko,kgolo ya phahlo,koketsego ya boleng jwa dithoto,ntlafatso ya boleng ba thepa,u gonga ha tshiṱoko,ntlangelo wa xitoko
stop-go policies,stop-gaan-beleid,inqubomgomo zokulawula izidingo,ipolisi zokulawula imfuneko,imigomo yekuma-uhambe,imithethomgomo yokunzinzisa umnotho,dipholisi tša ema-sepela,dipholisi tsa go ema le go tsamaya,maano a ema-tsamaya,phoḽisi dza imisa-takusa,milawu yo tshamisekisa ikhonomi
strategic trade theory,strategiesehandelteorie,ithiyori yamasu okuhweba,ingcamango yorhwebo oluchuliweyo,umcondvo wekuhweba wendlelasu,itiyori yokurhwebelana ephumelelisako,teori ya leano la papatšo,tiori ya togamaano ya kgwebisano,monahano wa kgwebisano wa Mokgwa wa Tshebetso,thyori ya mbambedzelano,miehleketo
strong efficiency (of share markets),sterk doeltreffendheid (van aandelemarkte),ukuqina kokusebenza kahle (kwezimakethe zamasheya),ukukhuthala okomeleleyo (kweemakethi zezabelo),kuphumelelisa lokucinile (kwemakethe emasheya),ukuphumelela okukhulu (kweemakethe zamatjhere),phethagalo ye e tiilego (ya mmaraka wa dišere),maatla a a nonofileng (a mebaraka ya dišere),bohlwahlwa bo matla (ba mmaraka wa dishere),vhukonindeme (ha maraga ya mikovhe/shere),vuswikoti byo tiya (bya makete wa miavelo)
structural unemployment,strukturele werkloosheid,ukuntuleka kwemisebenzi ngokwesakhiwo,intswela-ngqesho yesiseko,kungasebenti kweluhlelo,ukutlhogeka komsebenzi okuphathelene nesakhiwo,tlhokego ya mošomo go ya ka tlhokego ya mabokgoni,botlhokatiro jwa thulaganyo,kgaello ya mesebetsi ya setheo,vhushayamishumo ha zwiimiswa/zwishumiswa,ku pfumaleka ka mitirho
structuralists,strukturaliste,osomnotho abagxile ezihibeni,iingcali zeziseko,bososakhiwo,abosomnotho abaqalene neenqabo zetuthuko,bahlabolli,barulaganyi,ba sebopeho,vhateamaṱanzu,
subsidies,subsidies,imixhaso,izibonelelo,lusito lwemali,iimali zokuphungula iindleko ezibhadalwa mbuso,thušo ka tšhelete,diketleetso,ditshehetso,saphusidi,mipfuneto
subsistence,bestaan,izinga lokuziphilisa kwabantu,isibonelelo sokuphila,lokulingene sidzingo,ukudla,tša phedišo,go itshedisa,ho iphedisa,vhukokoti,
subsistence production,bestaansproduksie,ukukhiqizela ukuziphilisa,imveliso yesibonelelo sokuphila,kukhicita lokulingene,ukukhiqizela ukuziphilisa,ttšweletšo ya phedišo,tlhagiso ya go itshedisa,tlhahiso ya ho iphedisa,vhubveledzi ha vhukokoti,vumaki byo tihanyisa hi byona
substitute goods,substituutgoedere,izimpahla ezifakwa esikhundleni sezinye,iimpahla zokubambela,imikhicito yekumelela,iimpahla ezijamelanako,thoto ya kemedi,dithoto tsa kemedi,thepa ya diemelanang,ndwelavanḓa,nhundzu yo siva
substitutes,substitute,okusesikhundleni sokunye,isibambeli,kumelela,iimpahla ezijamelanako,dikemedi,diemedi,diemelanang,ndwelavanḓa,swisivi
substitutes in supply,substitute in aanbod,okusesikhundleni sokunye ekuphakelweni,izibambelindawo zonikelo,kuniketa lokumelelako,iimpahla ezijamelanako,dikemedi kabong ya phahlo,diemedi mo thebolelong,diemelanang ho phepelo,ndwelavanḓa kha nḓisedzazwibveledzwa,swisivi eka mphakelo
substitution effect of a price change,substituuteffek van prysverandering,umthelela wokusesikhundleni sokunye ekushintsheni kwentengo,iziphumo zokubambela indawo ngotshintsho lwentengo,umphumela wekumelela wengucuko yentsengo,umthelela wokujanyelwa kwetjhugulukontengo,khuetšo ya kemedi phetogong ya theko,maatla a phetolo ya phetogo ya ditlhotlhwa,sebakwa sa kemelo sa phetoho ya theko,mitengo nga ndwelavanḓa,nkhumbo wa ku siva ku cinca ka ntsengo
substitution effect of a rise in wage rates,substituuteffek van ’n styging in loonkoerse,umthelela wokusesikhundleni sokunye ekunyukeni kwamazinga emiholo,iziphumo zokubambela indawo ekwenyukeni kwemivuzo,umphumela wekumelela wekukhula kwelizinga lemholo,umthelela wokujanyelwa kokuphakama kweenlinganiso zomrholo,khuetšo ya kemedi tlhatlošong ya ditefelo tša meputso,maatla a phetolo ya koketsego ya direiti tsa tuelo,sebakwa sa kemelo sa nyollelo ya sekgahla sa meputso,miholo nga ndwelavanḓa,nkhumbo wa ku siva ku tlakuka ka mpimo wa muholo
substitution effect of a tax rise,substituuteffek van verhoogde belasting,umthelela wokusesikhundleni sokunye ekwenyukeni kwentela,iziphumo zokubambela indawo ekunyukeni kwerhafu,umphumela wekumelela wekwenyuka kwemtselo,umthelela wokujanyelwa kokuphakama komthelo,khuetšo ya kemedi koketšong ya lekgetho,maatla a phetolo ya koketsego ya lekgetho,sebakwa sa kemelo sa keketso ya lekgetho,mvelelonyimeli dza u gonga ha muthelo,nkhumbo wa ku siva ku tlakuka ka xibalo
sunk costs,versonke koste,izindleko ezizikile,iindleko ezitshonileyo,tindleko letemukile,iindleko ezingabuyiselekiko,ditshenyegelo tšeo di subeletšego kudu,ditshenyegelo tse di noetseng,ditefo tse lahlehileng,tshinyalelombindimeli,mixavo leyi nga hakelekiki
supernormal profit,bonormale wins,inzuzo engaphezu kwevamile,inzuzo engaphezulu kakhulu,inzuzo lemangalisako,inzuzo ephezulu ngokungakajayeleki,poelophetelelo,poelo e e siameng mo go feteletseng,phaello e tlwaelehileng ka ho fetisisa,mbuelokhaluli,mbuyelo wo tlulampimo
supply,aanbod,"uhlinzeko, ukuphakela",ufumaniso,lokuniketwako,inani lepahla ethengiswako,kabo,thebolelo,phepelo,nḓisedzazwibveledzwa,mphakelo
supply curve,aanbodkromme,igwinci lokuphakelwayo,igophe lokufumanisa,umdvwebo wekuniketa,igombe lethengisopahla,kgopamo ya kabo,khefe ya thebolelo,pontsho ya phepelo,kheve ya nḓisedzazwibveledzwa,girafu ya mphakelo
supply curve of the firm,firma-aanbodkromme,igwinci lophuphakelwa yifemu,igophe lokufumanisa lomzimveliso,umdvwebo wekuniketa wefemu,igombe lethengisopahla lefemu,kgopamo yakabo ya phahlo ya feme,khefe ya thebolelo ya feme,pontsho ya phepelo ya feme,kheve ya nḓisedzazwibveledzwa feme,girafu ya mphakelo ya feme
supply of money,geldaanbod,uhlinzeko lwemali,ufumaniso lwemali,kuniketwa kwemali,isabalalisomali,kabo ya tšhelete,thebolelo ya madi,phepelo ya tjhelete,nḓisedzo (nḓisedzo) ya tshelede,mphakelo wa mali
supply schedule,aanbodskedule,ishejuli yokuphakelwayo,ucwangciso lofumaniso,sikejuli sekuniketa,itjhejuli yethengisopahla,lenaneo la kabo ya phahlo,sekedule sa thebolelo,shejule ya Phepelo,sheduḽu ya nḓisedzo,xedulu ya mphakelo
supply shocks,aanbodskokke,ukushaqeka kokuphakelwayo,izothuso zofumaniso,kuphatamiseka kwekuniketa,ukwesaba kwethengisopahla,dikgakgamatšo tša kabo,matshogo a thebolelo,maemo a dimakatso a phepelo,tshuwiso dza Nḓisazwibveledzwa,swihlamariso swa mphakelo
supply-side economics,aanbodkantekonomie,ezomnotho wohlangothi lokuphakelwayo,uqoqosho lwecala lofumaniso,luhlangotsi lwekuniketa lwemnotfo,i-ikhonomiksi egandelela ukupheliswa kweenliyo zethengisopahla,thutaboiphedišo ka lehlakoring la kabo,go rebolela diikonomi tsa kwa thoko,moruo wa hlakore la phepelo,,vunkota bya tlhelo ra mphakelo
supply-side policy,aanbodkantbeleid,inqubomgomo yohlangothi lokuphakelwayo,ipolisi yecala lofumaniso,umgomo weluhlangotsi lwekuniketa,umthethokambiso wokutjhugululwa kwethengisopahla,,go rebolela pholisi ya kwa thoko,pholisi ya hlakore la phepelo,,nawu wa tlhelo ra mphakelo
surplus,surplus,insalela,intsalela,insalela,isalela,mašalela,bontsi,masalla,,
sustainable output,volhoubare uitset,umkhiqizo osimeme,imveliso elondolozekayo,umkhicito losimeme,umphumela obambelelako,tšweletšo ye e swarelelago,ntshetsontle e e tswelelang,sephetho se tshwarellang,mveledzo i sa nyeṱhi,ximakiwa lexi hetaka nkarhi wo leha
tacit collusion,stilswyende samespanning,ukuvumelana kwamafemu e-oligopholi buthule,iyelenqe elingaqondakaliyo,kulwisana lokunganakeki,isivumelwano sobukirikitjhani esingakanqophi,borukhuhli,tumelano e e tlhaloganyegang,maikutlo a Kutlwano-sephiring,mugogomedzano wa tshidzumbe,Ntwanano wa xihundla lowu nga boxiwangiki
takeover bid,oornamebod,ibhidi yokuthatha izintambo,ibhidi yokuthabathela kuwe,umetamo wekuphatsa,umzamo wokulawula ebekulawulwa ngabanye,peeletšo ya theko,biti ya go tsewa,teko ya ho hapa,ndingauthuba,xikombelo xo xava bindzu rin'wana
takeover constraint,oornamebeperking,izihibe zokuthathwa kwezintambo,imiqobo yokuthabathela kuwe,inkinga yekwetanywa kuphatfwa,igandelelo lokulawula ebekulawulwa ngabanye,thibelo ya tšeelo ka feme ye nngwe,bothata jwa go tsewa,tshita ya ho hapa/Kgapo,vhushavhauthubwa,ku chava ku tekeriwa bindzu
target real wage theory,teorie van teikenreëleloon,ithiyori yomholo wangempela oqondiwe,ingcamango yokujolisa kowona mvuzo,umcondvo wemholo ngempela lohlosiwe,itiyori yomrholo wamambala oqothelweko,teori ya nepo ya meputso,tiori ya tuelo ya nnete e e totilweng,monahano wa toba-moputso-wa-nnete,thyori ya muholoholo,miehleketo yo kongomisa eka muholo lowu tekelaka nhlokweni mitsengo ya nxavo
tariff escalation,eskalasie van doeaneregte,ukwenyuka kwezintela ngokungalawuleki,ukuxhuma koluhlu lwerhafu,kukhuliswa kwemtseliso,ukukhuphuka kwamatharifu,koketšo ya lekgetho,koketsego ya dikelotefo,kgolo ya tharifi,u gonya ha therifi,ku tlakuka ka tihakelo
tariffs,tariewe,izinhlawulo,izintlu zerhafu,inkhokhelo yemtselo,amatharifu,makgetho,dikelotefo,ditharifi,thesifi,tihakelo
tax,belasting,intela,irhafu,umtselo,umthelo,motšhelo,lekgetho,lekgetho,muthelo,xibalo
tax allowance,belastingkorting,iholo elingenantela,isibonelelo serhafu,imvume yemtselo,isibonelelo somthelo,tumelelo ya motšhelo,ketleetso ya lekgetho,tumello lekgethong,aḽawentse ya muthelo,mpimo lowu nyikiwaka wa swa xibalo
tax avoidance,belastingvermyding,ukugwema intela,ukuphepha irhafu,kubalekela umtselo,ukubalekela umthelo,go phema,go tilwa ga lekgetho,ho bebofatsa lekgetho,thinyamuthelo,ku papalata ku hakela xibalo
tax bracket,belastingkategorie,izigaba zabakhokhi bentela,ibrakethi yerhafu,sibiyelo semtselo,umkhakha wesilinganiso esifanako somthelo,lešakana la motšhelo,lesakana la lekgetho,mokgahlelo wa lekgetho,burakete ya muthelo,swisingarhelo swa xibalo
tax burden,belastinglas,umthwalo wentela,uxanduva lwerhafu,umtfwalo wemtselo,umthwalo womthelo,morwalo wa motšhelo,morwalo wa lekgetho,boima ba lekgetho,khokhovhedzi dza muthelo,ndzhwalo wa swa xibalo
tax evasion,belastingontduiking,ukubalekela ukukhokha intela,ukubaleka irhafu,kubalekela umtselo,ukuphepha umthelo,tšhabelo ya motšhelo,phapogo ya lekgetho,ho qoba lekgetho,thinyamuthelo,ku papalata ku hakela xibalo
tax incidence,belastingtrefwydte,isigameko sentela,isiganeko serhafu,sehlakalo semtselo,isehlakalo somthelo,tiragalo ya motšhelo,tiragalo ya lekgetho,boima ba lekgetho,khokhovhedzi dza muthelo,ndzhwalo wa swa xibalo
tax rate,belastingkoers,izinga lentela,izinga lerhafu,lizinga lemtselo,isilinganiso somthelo,lebelo la motšhelo,kelo ya lekgetho,sekgahla sa lekgetho,phimo ya muthelo,mpimo wa xibalo
tax revenue,belastinginkomste,imali eqoqwe ngentela,ingeniso yerhafu,inkhokhelo yemtselo,ingeniso yomthelo,letseno la motšhelo,lotseno lwa lekgetho,lekeno la lekgetho,mbuelo dza muthelo,mali leyi hlengeletiweke ya xibalo
taxes (T),belasting (T),izintela (T),irhafu,imitselo (T),imithelo (T),metšhelo,makgetho (M),lekgetho (T),mitelo,swibalo
technological advance,tegnologiese vooruitgang,ukudlondlobala kwezobuchwepheshe,ukuhambela phambili kwetekhnoloji,kutfuftuka kwebuchwepheshe,ukuthuthuka kwetheknoloji,tšwelopele ya thekenolotši,tswelelopele ya thekenoloji,kgatelopele ya thekinoloji,mvelaphanḓa ya thekhinolodzhi,maendlelo lamantshwa no antswa ya swa thekinoloji
technological unemployment,tegnologiese werkloosheid,ukuntuleka kwemisebenzi ngokwezobuchwepheshe,intswela-ngqesho yetekhnoloji,kungasebenti kwebuchwepheshe,ukutlhogeka komsebenzi ngenca yokuthuthuka kwetheknoloji,tlhokego ya mešomo ka ge go šomišwa thekenolotši,botlhokatiro jwa thekenoloji,kgaello ya mesebetsi e bakwang ke thekinoloji ya setheo,vhushayamishuno nga thekhinoḽodzhi,ku pfumaleka ka mitirho loku vangiwaka hi swa thekinoloji
technology,tegnologie,ezobuchwepheshe,itekhnoloji,tebuchwepheshe,itheknoloji,thekenolotši,thekenoloji,thekenoloji,thekhinoḽodzhi,thekinoloji
terms of trade,handelsvoorwaardes,imibandela yezohwebo,imiqathango yorhwebo,tivumelwano tekuhweba,iinlinganiso ezijanyisiweko zokurhwebelana,mabaka a papatšo,mareo a kgwebisano,ditlha tsa kgwebisano,zwilanga mbambedzelano,milawu ya nxaviso
theoretical economics,teoretiese ekonomie,uhlelo lokusebenzisa amathiyori nemigomo yezomnotho,uqoqosho lwengqondo,imicondvo yemnotfo,i-ikhonomiksi eyitiyori,diteori tša thutaboiphedišo,diokonomi tsa tiori,moruo ya menahano,ḓivhaikonomi ya thyori,miehleketo ya swa vunkota
theory of games,speleteorie,ithiyori yemidlalo,ingcamango yemidlalo,umcondvo wemidlalo,itiyori yemidlalo,teori ya dipapadi,tiori ya metsameko,monahano wa tsa dipapadi,thyori ya kutambele,miehleketo mayelana na mitlangu
theory of human capital,teorie van menslike kapitaal,ithiyori yokutshalela amakhono abasebenzi,ingcamango yekhapitali engabantu,umcondvo wesicaliso sebantfu,itiyori yamakghonofundwa womuntu angenisa imali,teori ya kapitlele ya batho,tiori ya kapitale ya batho,monahano wa matlotlo a botho,thyori ya khephithaḽa ya vhathu,miehleketo mayelana na rifumo ra vanhu
third-degree price discrimination,derdegraadse prysdiskriminasie,ukwehlukaniswa kwabantu ngokwamanani okumele bawakhokhe,ucalucalulo lwexabiso olukwiqondo lesithathu,kubandlulula kwentsengo kwesigaba sesitsatfu,ibandlululontengo,kgethollo ya ditheko ya legato la boraro,kgethololo ya gerata ya boraro ya ditlhotlhwa,kgethollo ya theko ya maemo a boraro,khethululo nga mutengo,xihlawuhlawu xa swa mitsengo xa digiri ya vunharhu
thrift institution,spaarinstelling,isikhungo sezimali esingelona ibhange,iziko lolondolozo,emagumbi lafelelako,ihlangano eyongako,sehlongwa sa bobolokelo bja ditšhelete,setheo sa tsamaiso ya madi,setheo se atlehileng,zwiimiswa zwa tshelede,vandla ro hlayisa mali
tie-in sales,koppelverkope,ukuthengisa ngasikhathi sinye,iseyile edibanisayo,kutsengisa lokunesibopho,ithengiso ngakubili,dithekišo tše di kgokilwego,go bofagana mo dithekisong,thekiso e tlamang,thoma-u-renga,nxaviso wa ximakiwa ku ri na xipimelo xo xava xa vumbirhi eka feme yin'we
tight money policy,stram geldbeleid,inqubomgomo yemali eqinile,ipolisi yemali eqhotyoshiweyo,umgomo wemali lolukhuni,umthethokambiso wokuphelisa ibhebhedlho-ntengo,pholisi ya kgoko ya ditšhelete,pholisi e e gagametseng ya madi,"leano la tjhelete e ""thata""",phoḽisi ya u temetela,nawu wa swa mali lowu sivelaka mphakelo wa mali ku hunguta ntlakuko wa mixavo
till money,kas(register)geld,imali esebhange,imali esethilini,imali yasethilini,imali esethilini,tšhelete ya thili,madi a thili,tjhelete ya thili,tshelede ya thiḽini,mali leyi nga eka tidirowara ebangi
time deposits,termyndeposito’s,imali efakwe ebhange enesikhathi,idiphozithi yexesha,tibekelo tesikhatsi,amadibhozithi abikwa ntangi,didipositi tša go sepela ka nako,didipositi tsa nako,diphositho tse behetsweng nako.,diphosithi dza nothisi,mali leyi nga vekiwa leyi ku humesa yona swilavaka xitiviso
time-series data,tydreeksdata,imininingwane yokushintsha kukanguqunguqu,idata yokuhamba kwexesha,idatha yeluchungechunge lwesikhatsi,idatha yetjhugulukontengo,data ya tatelano ya nako,tshedimosetso ya metseletsele ya nako,dipalopalo tsa nako,data ya tshanduko dza varebuḽu,switiviwa swa nxaxamelo wa nkarhi
token money,tekengeld,imali eyithokheni,imali engumqondiso,imali yeluphawu,isifanisomali,tšhelete ya seka,sesupo sa madi,sekatjhelete,tsheledemafanedza,mali leyi nga mfungho
total (private) surplus,totale (privaat) surplus,isamba sensalela yomsebenzisi,intsalela (yabucala) yonke,insalela seyiyonkhe (yangasese),inani elipheleleko lesalela (yangeqadi),tšhalomoka,bontsi jotlhe jwa (poraefete),masalla kaofela (poraefete),sapuḽasifulu (ya phuraivethe,ntsengo wa nsalo lowu nga ri ki wa mfumo
total consumer expenditure on a product (TE) (per period of time),totale verbruikersuitgawe per produk (TE)(per tydperk),isamba semali esetshenziswe ngumthengi emkhiqizweni (TE) (ngesikhathi),inkcitho yentsebenziso yemveliso yonke (ngexesha ngalinye),imali yekutsenga yebatsengi yonkhe yemphahla (TE) (ngesikhatsi lesikaliwe),inani elipheleleko leendleko zomsebenzisipahla malungana nomkhiqizo (TE) (esikhathini esithileko),tshenyegelomoka ya bašomiši go setšweletšwa (TE) (ka pakana ya nako),tshenyegelo yotlhe ya modirisi mo setlhagisiweng ( T E) (mo nakong nngwe le nngwe),paloyohle ya ditshenyehelo tsa moreki tsa sehlahiswa (TE) (nakong e itseng),mbadelofulu dza vharengi,ntsengo wa matirhiselo ya mali eka ximakiwa
total consumer surplus,totale verbruikersurplus,isamba sensalela yomthengi,intsalela yomsebenzisi yonke,insalela yemtsengi seyiyonkhe,inani elipheleleko lesalela yomsebenzisipahla,mašaledimoka a bašomiši,bontsi jotlhe jwa badirisi,masalla a mo/bareki kaofela,sapuḽasifulu ya vharengi,ntsengo wa nsalo wa vatirhisi
total cost (TC),totale koste (TC),samba sezindleko (TC),iindleko zizonke (TC),tindleko tonkhe (TC),inani elipheleleko leendleko,tshenyegelomoka (TC),tshenyegelo yotlhe (T Y),tefo yohle (TC),tshinyalelofulu,ntsengo wa nxavo
total currency flow on the balance of payments,totale valutavloei op die betalingsbalans,ukuhamba kwemali e-ekhawuntini lokuhwebelana namanye amazwe,ukumpompoza kwemali kukonke xa kuthelekiswa nentlawulo,kuhamba kwemali yonkhe esibalweni setinkhokhelo,inani elipheleleko leemali zenarha lokubhadala iinkolodo,kelelomoka ya kharentshi go ditefelo tše di šetšego,kelo ya madi mo tekanyong ya dituelo,phallo ya tjhelete (kharensi) kaofela ho masalla a ditefo.,tshelede yoṱhe yo yaho kha mbadelo dza ndinganyiso,ntsengo wa nkhuluko wa mali eka nsalo wa tihakelo
total demand,totale vraag,isamba sezidingo,imfuneko yonke,sidzingo sonkhe,inani elipheleleko lefuneko,nyakomoka,topo yotlhe,tlhoko yohle,nḓilazwibveledzwafulu,ntsengo wa swilaveko
total demand for money,totale vraag na geld,isamba sokufunwa kwemali,imfuneko yemali yonke,sidzingo sonkhe semali,inani elipheleleko lemali efunekako,nyakomoka ya tšhelete,topo yotlhe ya diteransekešene,tlhoko yohle ya tjhelete,nḓilamashelenifulu,ntsengo wa ku laveka ka mali
total expenditure,totale uitgawe,isamba semali esetshenzisiwe,inkcitho yonke,kutsenga konkhe,inani elipheleleko leendleko,tshenyegelomoka,tshenyegelo yotlhe,ditjeo tsohle,mbadelofulu,ntsengo wa matirhiselo ya mali
total fixed cost,totale vaste koste,isamba sezindleko ezingaguquki,iindleko eziqingqiweyo zonke,tindleko letingagucuki tonkhe,inani elipheleleko leendleko ezingatjhugulukiko,tshenyegelo moka ye e kgokilwego,tshenyegelo yotlhe e e tsepameng,paloyohle ya tefo e tsepameng,tshinyalelofulu dzi sa shanduki,ntsengo hinkwawo wa nxavo lowu nga cinciki
total income,totale inkomste,isamba semali engenayo,ingeniso yonke,umholo wonkhe,inani elipheleleko lengeniso,moputsomoka,lotseno lotlhe,paloyohle ya lekeno,mbuelofulu,ntsengo wa malinghena
total output,totale uitset,isamba smikhiqizo,ephumayo yonke,umkhicito wonkhe,inani elipheleleko lomphumela,tšweletšomoka,ntshetsontle yotlhe,sephetho sohle,mveledzofulu,ntsengo wa swimakiwa
total physical product,totale fisiese produk,isamba somkhiqizo ophathekayo,imveliso ebonakalayo yonke,umkhicito lophatsekako wonkhe,inani elipheleleko lomphumela,sebopego sa setšweletšwamoka,setlhagisiwa sotlhe se se bonagalang,sehlahiswa sohle se tshwarehang,tshibveledzwatshivhanḓeifulu,ntsengo hinkwawo wa swimakiwa
total producer surplus,totale produsentsurplus,isamba sensalela yomkhiqizi,intsalela yomvelisi yonke,insalela yemkhiciti yonkhe,inani elipheleleko lesalela yomkhiqizi,mašaledi ka moka a motšweletši,bontsi jotlhe jwa motlhagisi,masalla a Bahlahisi kaofela,sapuḽasifulu ya mubveledzi,nsalo hinkwawo wa mumaki
total product,totale produk,isamba somkhiqizo,imveliso yonke,umkhicito wonkhe,inani elipheleleko lomkhiqizo,setšweletšwamoka,setlhagisiwa sotlhe,paloyohle ya sehlahiswa,tshibveledzwafulu,ntsengo wa ximakiwa
total profit,totale wins,isamba senzuzo,inzuzo yonke,inzuzo yonkhe,inani elipheleleko lenzuzo,poelomoka,poelo yotlhe,phaello yohle,mbuelofulu,ntsengo wa mbuyelo
total revenue,totale inkomste,isamba semali eqoqiwe,ingeniso yefemu yonke,Inkhokhelo yonkhe,Irnani elipheleleko lerevenyu,Letsenomoka,Lotseno lotlhe,Lekeno lohle,Mbuelofulu/mbuelofulu,Ntsengo wa mali leyi nga hlengeletiwa
total social surplus,totale sosiale surplus,isamba sokusele kwezenhlalakahle,intsalela yabahlali yonke,insalela yetenhlalo yonkhe,isalela epheleleko yomphakathi,mašaledi ka moka a tša leago,bontsi jotlhe jwa loago,masalla a setjhaba kaofela.,sapuḽasifulu ya tshitshavha,ntsengo wa nsalo eka vanhu
total spending,totale besteding,isamba semali esebenzile,inkcitho yonke,kutsenga konkhe,inani elipheleleko lemali esetjenzisiweko,tshenyegelomoka,madi otlhe a a dirisiwang,ditjeo tsohle,thengofulu,ntsengo wa mali leyi tirhisiweke
total supply,totale aanbod,isamba sokuphakelwayo,unikelo lonke,kuniketa konkhe,inani elipheleleko lethengisopahla,kabomoka,theboloyotlhe,phepelo yohle,nḓisedzazwibveledzwafulu,ntsengo wa mphakelo
total utility,totale nut,isamba sokusetshenziswayo,uncedo losetyenziso lonke,inzuzo yonkhe,ukusebenziseka ngokupheleleko,kholomoka,tirisoyotlhe,kgotsofatso kaofela,yuthiḽithifulu/dzangambilu,ntsengo wa mpfuno
total variable cost,totale veranderlike koste,isamba sezindleko eziguquguqukayo,iindleko ezitshintshatshintshayo zizonke,tindleko letingagucuki tonkhe,iindleko ezipheleleko ezitjhugutjhugulukako,ditshenyegelomoka tša go fapana,tshenyegeloyotlhe e e farologanang,tefoyohle e fetofetohang,madelofulu ya varibuḽu,ntsengo hinkwawo wa nxavo wa leswi cincaka
total-revenue test,totale-inkomste-toets,ukuhlola ukwamukeleka kwamanani amabili,uvavanyo lwengeniso iphela,sivivinyo senkhokhelo yonkhe,ihlahlubo yerevenyu epheleleko,teko ya letsenomoka,teko ya lotsenolotlhe,teko ya lekeno-lohle,ndingofulu ya mbuelo/mbuelo,nkambelo wa ntsengo hinkwawo wa mali leyi hlengeletiweke
trade,handel,ezohwebo,urhwebo,kuhweba,ukurhwebelana,papatšo,kgwebisano,kgwebisano,mbambedzelano,nxaviso
trade balance,handelsbalans,ibhalansi yezohwebo,ibhalansi yokurhweba,kusimama kwekuhweba,ibhalansi yokurhwebelana,tekanyetšo ya papatšo,tekano ya kgwebisano,masalla ya kgwebisano,mutengenedzo wa mbambedzelano,ndzingano wa nxaviso
trade barriers,handelsversperrings,izithiyo zezohwebo,imiqobo yokurhweba,tintfo letivimba kuhweba,iinliyo zerhwebelano,dišitišapapatšo,maparego a kgwebisano,dithibelo tsa kgwebisano,zwitivela mbambedzelano,swirhalanganyi swa nxaviso
trade bloc,handelsblok,inhlangano yamazwe yezohwebo,umanyano lwazwe lorhwebo,ibhloki yekuhweba,isiphelisiinqabo sokurhwebelana,kgwerano ya papatšo,setlhopha sa kgwebisano,sehlopha Sa kgwebisano,buḽoko ya mbambedzelano,ntwanano wa nxaviso
trade controls,handelskontroles,okokulawula ezohwebo,ulawulo lokurhweba,imitsetfo yekuhweba,ilawulorhwebelano,dilaolapapatšo,ditaolo tsa kgwebisano,taolo ya kgwebo,ndangambambedzelano,u lawula nxaviselano
trade creation,handelskepping,ukusungula ezohwebo,ukudalwa korhwebo,kusungulwa kwekuhweba,ituthukisorhwebelano,thlolapapatšo,tlhagiso ya kgwebisano,tlhomamiso ya Kgwebisano,ṱhuṱhuwedzambambedzelano,ku tumbuluxa nxaviselano
trade cycle,handelsiklus,umjikelezo wezohwebo,umjikelo worhwebo,umjikeleto wekuhweba,umzomberhwebelano,leboo la papatšo,tsheko ya kgwebisano,potoloho ya kgwebisano,tshitendeledzi tsha mbambedzelano,ndzhendzheleko wa nxaviso
trade deficit,handelstekort,idefisithi yezohwebo,intsilelo yorhwebo,sikwelede sekuhweba,Itlhayelorhwebelano,tlhaelelo ya papatšo,difisiti ya kgwebisano,kgaello ya kgwebisano,phaḓambambadzelaseli,nkayivelo wa nxaviso
trade diversion,handelsomleiding,uphambuko kwezohwebo,ukutshintshwa korhwebo,umehluko wekuhweba,iphambukisorhwebelano,phapantšho ya papatšo,phaposo ya kgwebisano,ho tjekiswa/thintshwa ha kgwebisano,khakhisambambedzelano,ku hambukisa nxaviso
trade surplus,handelsoorskot,okusele kwezohwebo,intsalela yorhwebo,insalela yekuhweba,isalela yerhwebelano,mašalela a papatšo,bontsi jwa kgwebisano,masalla a kgwebisano,sapuḽasi ya mbambedzelano,nsalo wa nxaviso
trademark,handelsmerk,uphawuhwebo,uphawu lwentengiso,luphawu lwekuhweba,itshwayo lerhwebo,leswaokgwebo,letshwaokgwebo,letshwao la Kgwebisano,thireidimaka,mfungho wa nxaviso
tradeoff,kompromis,ukudela okunye kwezohwebo,isisulu,kulahlekelwa kwekuhweba,ukurhwebelana okuhlomulisako,sehlabelopapatšo,go lekanya,therisanokgwebo,ţhanzwazwanḓa,ku tixavisa
trading possibilities line,handelsmoontlikhedelyn,umugqa ongabakhona wezohwebo,umgca wezehlo zorhwebo,lilayini lematfuba ekuhweba,umuda okhombisa ikghonakalo yokurhweba,mothaladi wa dikgonagalo tša papatšo,mola wa dikgonagalo tsa kgwebisano,mola wa dikgonahalo tsa kgwebisano,mutaladzi wa khonadzeo dza mbambedzelano,ntila lowu kombaka ku endleka ka ku xavisa
traditional theory of the firm,tradisionele teorie van die firma,ithiyori yokuhlaziya ukusebenza kwefemu,ingcamango yesithethe yefemu,umcondvo wemihambo yefemu,itiyori yendabuko yefemu,teori ya setšo ya feme,tiori ya tlwaelo ya feme,monahano wa feme o tlwaelehileng,thyori ya feme,miehleketo ya ntolovelo ya feme
